"","sample","tissue","endometriosis","severity","p218146_at","p218147_s_at","GLT8D1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.243009,10.054572,10.1487905
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.451755,10.264618,10.3581865
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.263436,9.351934,9.807685
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.240677,9.78999,10.0153335
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.495336,9.98314,10.239238
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.396435,9.979844,10.1881395
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.894125,9.161222,9.5276735
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.461537,10.120373,10.290955
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.640575,10.898904,10.7697395
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.928786,9.612668,9.770727
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.033334,10.630659,10.3319965
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.862511,10.476614,10.1695625
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.563986,9.111163,9.3375745
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.565363,10.313665,10.439514
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.375399,10.404215,10.389807
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.060232,9.638279,9.8492555
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.882851,9.831752,9.8573015
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.526394,9.719935,9.6231645
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.776028,9.936721,9.8563745
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.205971,7.827319,8.516645
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.813829,8.58135,9.1975895
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.988352,7.89867,8.443511
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.509676,6.512081,7.5108785
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.992643,7.448767,8.220705
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.263881,6.756425,7.510153
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.289011,5.301499,6.795255
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.037125,6.21069,7.6239075
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.960338,8.431903,9.1961205
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.130592,7.482484,8.306538
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.570821,6.034107,7.302464
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.826563,6.771652,7.7991075
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.169144,7.830907,8.5000255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.843616,5.838111,6.8408635
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.338279,7.008175,7.673227
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.671635,9.956837,10.314236
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.889706,8.16674,8.528223
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.183562,7.162031,8.1727965
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.590285,9.212727,9.901506
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.276662,7.493584,8.385123
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.056719,6.715642,7.8861805
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.282412,7.914774,8.598593
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.686555,7.560056,8.1233055
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.415888,6.982933,8.1994105
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.562965,8.530033,9.046499
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.457959,7.091019,7.774489
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.797598,8.624104,9.210851
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.765647,6.545673,7.65566
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.559022,6.160112,7.359567
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.207176,7.587992,8.397584
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.021959,6.79393,7.9079445
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.055547,7.398538,8.2270425
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.861846,7.847588,8.354717
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.381745,7.203397,8.292571
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.387905,8.04656,8.7172325
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.873115,8.437344,9.1552295
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.693249,9.421224,10.0572365
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.738074,8.472814,9.105444
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.405568,9.551886,9.978727
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.202635,9.457139,9.829887
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.231478,9.069097,9.6502875
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.902668,8.927336,9.415002
