"","sample","tissue","endometriosis","severity","p205849_s_at","p209066_x_at","UQCRB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.712877,13.202811,13.457844
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.655679,13.207793,13.431736
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.710882,13.27506,13.492971
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.449379,12.943088,13.1962335
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.581962,13.133968,13.357965
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.394248,12.735476,13.064862
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.139684,12.654589,12.8971365
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.870764,13.377019,13.6238915
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.824777,13.344669,13.584723
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.612677,13.123483,13.36808
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.676152,13.148652,13.412402
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.657219,13.279954,13.4685865
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.726922,12.504688,12.615805
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.495023,12.97463,13.2348265
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.550202,13.150647,13.3504245
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.231008,12.791375,13.0111915
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.188143,12.658335,12.923239
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.173368,12.710805,12.9420865
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.213432,12.723103,12.9682675
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.368499,12.210408,12.2894535
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.613329,12.364207,12.488768
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.664735,12.221952,12.4433435
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.502975,11.25123,11.3771025
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.197528,11.94742,12.072474
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.195691,12.044995,12.120343
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.271267,12.044878,12.1580725
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.845327,11.706906,11.7761165
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.638717,12.352753,12.495735
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.1631,12.983397,13.0732485
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.423416,12.262498,12.342957
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.057345,11.702381,11.879863
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.971384,12.621016,12.7962
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.168416,11.027523,11.0979695
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.119661,11.806115,11.962888
