"","sample","tissue","endometriosis","severity","p203348_s_at","p230102_at","ETV5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.694529,3.939779,5.317154
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.835495,6.015439,6.425467
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.279704,3.384804,5.332254
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201058,3.7242,4.962629
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.316327,3.384804,4.8505655
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621993,3.384804,4.0033985
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.759858,3.384804,5.072331
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.694119,5.535285,6.114702
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201058,3.384804,4.792931
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.542567,3.396394,4.9694805
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.201058,5.576052,5.888555
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.258779,5.607285,6.433032
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.718081,3.384804,4.5514425
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.213134,4.064252,5.638693
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.257783,5.712433,6.485108
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.062523,3.374771,4.718647
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.761802,3.111598,4.4367
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.39499,2.920403,4.1576965
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.761802,2.920403,4.3411025
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.701903,3.694655,5.198279
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.32612,5.359776,5.842948
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.674138,3.384804,5.029471
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.293522,4.463456,5.878489
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.431212,3.384804,4.908008
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.38082,3.727999,5.0544095
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.587949,2.915928,4.7519385
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.201058,3.384804,4.792931
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.769397,3.215526,4.9924615
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.297728,3.036473,4.6671005
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.453785,5.758121,7.105953
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.201058,5.163686,5.682372
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.825806,5.022459,6.4241325
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.351875,3.893931,5.122903
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.960443,3.879979,5.920211
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.776621,3.384804,4.5807125
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.408034,2.920403,4.6642185
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.375266,4.173215,5.7742405
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.708663,3.466425,4.587544
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.896149,3.384804,5.1404765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.658022,2.920403,4.7892125
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.320533,4.152452,5.7364925
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.111004,3.384804,4.247904
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.982408,5.446131,6.7142695
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.761802,3.384804,4.573303
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.135794,3.475886,5.30584
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.201058,3.789274,4.995166
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.792706,4.618651,5.7056785
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.93298,3.384804,4.658892
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.573583,2.50492,4.0392515
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.395546,4.620984,6.008265
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.982999,2.977869,4.980434
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.761802,3.384804,4.573303
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.219626,3.979826,5.099726
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.912896,3.752677,5.8327865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.85458,3.384804,4.619692
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.867218,3.431134,4.649176
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.789706,3.195905,4.4928055
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.767754,2.650452,4.209103
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.451447,3.395376,3.9234115
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.869236,3.563752,4.716494
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.574687,3.384804,4.4797455
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.188241,3.894701,5.041471
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.347961,2.787395,4.567678
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.57879,4.043024,5.810907
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201058,3.384804,4.792931
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.375979,2.236067,4.306023
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.093358,3.384804,5.239081
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.319881,4.31418,5.3170305
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.570742,5.391677,6.4812095
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.279525,2.717902,3.9987135
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.17334,4.313643,5.2434915
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.221714,3.384804,4.303259
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.633012,3.384804,5.008908
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.176757,2.920403,4.54858
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.561435,3.511746,5.0365905
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.420874,2.717902,3.569388
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.482216,4.688999,5.5856075
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.504759,3.384804,4.9447815
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.197365,5.390058,5.7937115
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.047997,3.384804,4.7164005
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.001102,4.217178,5.10914
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.240204,3.384804,4.812504
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.558907,2.661298,4.6101025
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.103727,3.384804,4.7442655
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.201058,3.384804,4.792931
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.132109,3.384804,4.7584565
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.244043,3.110447,4.677245
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.575506,3.227127,5.4013165
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.615176,3.384804,4.49999
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.822745,3.384804,5.1037745
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.112561,3.025889,4.569225
