"","sample","tissue","endometriosis","severity","p218772_x_at","p222735_at","TMEM38B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.735026,4.873415,4.3042205
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.290232,4.040792,4.165512
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.835863,3.832752,3.3343075
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.829416,4.152354,3.990885
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.852533,4.152354,4.5024435
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.597173,4.183794,3.3904835
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.282716,4.078187,3.1804515
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.89678,4.970236,4.933508
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.680501,4.733664,4.7070825
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.820103,4.768682,4.7943925
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.434837,4.60187,4.5183535
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.298653,4.152354,4.7255035
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.797223,5.0816,4.4394115
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.685926,5.093247,4.8895865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.883297,4.982629,4.432963
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.542553,4.152354,3.8474535
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.600795,4.796895,4.198845
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.619421,4.873415,4.746418
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.748845,4.4967,4.6227725
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.024331,5.162693,5.093512
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.071555,4.617764,4.8446595
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.886185,4.761998,4.8240915
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.908289,5.78756,5.8479245
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.039646,4.718366,4.879006
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.468335,5.694706,5.5815205
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.34599,5.441311,5.3936505
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.170812,4.152354,4.661583
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.312889,5.568087,5.440488
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347438,6.40884,5.878139
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.241394,5.740842,5.991118
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.886249,3.832752,4.3595005
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.31239,5.667756,5.490073
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.304877,3.87523,3.5900535
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.936794,4.596948,4.766871
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.561565,4.985754,4.7736595
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.940838,4.713945,4.8273915
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.843409,5.80739,5.8253995
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.813501,3.83358,3.8235405
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.346714,5.29807,5.322392
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.473468,5.487211,4.9803395
