"","sample","tissue","endometriosis","severity","p224783_at","p224785_at","UBALD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.028452,6.943865,7.4861585
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768713,7.734481,8.251597
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.360023,6.743012,6.5515175
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.353732,8.146858,8.750295
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.897534,6.808426,6.85298
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.383891,7.175782,7.7798365
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.676841,6.943865,7.810353
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.808896,6.708503,6.7586995
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.937835,6.851742,7.3947885
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.635063,7.10393,7.8694965
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.931861,6.943865,6.937863
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.771694,6.943865,7.3577795
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.604421,6.943865,7.774143
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.735018,6.943865,7.3394415
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.001556,6.968654,7.485105
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.543514,7.952434,8.747974
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.159738,8.164304,9.162021
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.281772,6.743012,7.012392
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.440457,7.442333,7.941395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.685625,9.706292,10.6959585
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.091605,9.032529,10.062067
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.806424,8.757773,9.7820985
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.109044,9.566213,10.3376285
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.168917,8.790066,9.9794915
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.794518,8.740852,9.767685
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.233863,9.755522,10.4946925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.989629,9.527367,10.258498
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.93891,8.309004,9.123957
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.880475,8.513637,9.697056
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.875126,9.411667,10.1433965
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.094447,9.109429,10.101938
