"","sample","tissue","endometriosis","severity","p205383_s_at","p213156_at","p213158_at","p232125_at","p235308_at","ZBTB20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.602392,11.175811,12.920815,10.326285,12.986257,12.002312
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.797801,10.563084,11.22082,9.69682,12.150458,11.2857966
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.951356,8.603239,11.368983,8.84605,11.680531,10.4900318
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.307185,9.804641,11.428569,8.256137,12.230336,10.8053736
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.223171,11.382133,12.480179,10.157557,12.492213,11.7470506
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.781025,9.164736,11.357278,8.418372,11.611057,10.4664936
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.925693,8.273315,11.485494,8.500701,11.557114,10.3484634
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.417044,9.411775,11.634432,7.519576,11.95742,10.5880494
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.80896,10.193435,12.070875,9.813401,12.49652,11.4766382
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.296221,9.332543,10.908692,8.228545,11.205682,10.1943366
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.600612,9.23244,11.21048,8.729057,11.538211,10.46216
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.02766,9.763428,11.539927,9.403632,11.990931,10.9451156
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.189897,9.442938,11.441286,6.748958,11.260488,10.0167134
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.463382,8.229625,11.258271,8.211889,11.898315,10.2122964
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.3365,10.084709,12.469488,10.013607,12.792995,11.5394598
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.614298,8.856688,11.802846,9.132709,12.198588,10.7210258
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.879176,9.043074,11.93099,8.777975,12.231463,10.7725356
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.526512,9.613026,11.39723,9.288986,11.324402,10.6300312
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.786171,9.269113,11.021713,8.886542,10.92542,10.1777918
