"","sample","tissue","endometriosis","severity","p203364_s_at","p203363_s_at","p209021_x_at","ATG13"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.358285,7.880624,6.196968,7.14529233333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.781477,7.469747,6.956586,7.40260333333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.651383,7.096072,7.985925,7.24446
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.812238,8.085828,7.033418,7.643828
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.398208,8.24358,7.342314,7.66136733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.856823,8.427842,7.550195,7.94495333333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.784482,8.345062,8.343895,8.157813
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.246024,6.905268,6.302385,6.81789233333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.677841,7.730657,6.783906,7.397468
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.556086,8.293431,7.269501,7.70633933333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.392146,8.085846,7.948103,7.80869833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.550552,7.735757,6.57101,6.95243966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.797898,7.891446,6.92255,7.537298
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.341354,7.788122,6.769283,7.29958633333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.650463,7.171766,6.465236,7.09582166666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.812238,8.044815,7.153856,7.670303
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.082623,7.792494,6.700341,7.52515266666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.827007,8.493942,7.123094,7.814681
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.647932,9.1073,7.360655,8.038629
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.403396,7.67113,8.272944,8.44915666666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.777747,6.761355,6.789957,7.44301966666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.150803,8.426105,8.447998,8.67496866666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.203436,8.463201,9.028238,8.89829166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.336601,8.305125,8.548815,8.73018033333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.683811,8.6872,8.651551,9.00752066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.482241,8.238713,8.539929,8.75362766666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.388316,8.460833,8.661539,8.50356266666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.018938,8.15346,8.14362,8.43867266666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.14588,7.609452,7.96541,8.24024733333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.323313,8.278,8.777671,8.79299466666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.099177,8.322181,8.586627,8.66932833333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.207161,7.688947,7.847851,8.24798633333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.195221,9.094725,8.940612,9.07685266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.741896,7.987261,8.474216,8.40112433333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.570301,6.744829,6.440188,7.25177266666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.255067,8.373161,8.668676,8.76563466666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.754294,7.781101,8.161735,8.23237666666667
