"","sample","tissue","endometriosis","severity","p210950_s_at","p208647_at","FDFT1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.064679,10.882252,10.4734655
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.399895,11.207109,11.303502
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.760826,9.573199,9.6670125
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.490004,10.60271,10.546357
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.124114,10.257132,10.190623
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.323792,10.523495,10.4236435
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.418244,9.94278,9.680512
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.630207,10.321236,9.9757215
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.532604,10.88482,10.708712
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.98717,10.413402,10.200286
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.459752,11.196295,10.8280235
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.321801,10.635062,10.4784315
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.643904,10.089658,9.866781
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.571897,10.218708,9.8953025
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.318231,11.042793,10.680512
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.250733,10.676291,10.463512
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.079521,10.514176,10.2968485
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.586324,10.191202,9.888763
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.235031,9.881628,9.5583295
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.49107,10.86798,10.679525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.748183,11.238601,10.993392
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.595188,10.17257,9.883879
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.831067,10.666532,9.7487995
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.106637,10.19195,10.1492935
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.821108,9.838883,9.8299955
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.223153,9.978347,10.10075
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.243376,9.819705,9.5315405
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.217942,10.763877,10.4909095
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.626945,11.104838,10.8658915
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.113914,9.97429,10.044102
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.801911,10.454532,10.1282215
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.546377,10.464914,10.0056455
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.955173,9.677738,9.8164555
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.317794,9.407766,9.36278
