"","sample","tissue","endometriosis","severity","p1569149_at","p1569150_x_at","p203370_s_at","p214266_s_at","p214121_x_at","PDLIM7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,5.000205,6.036117,4.152711,4.61131,4.8844598
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,3.564851,5.036166,4.497235,5.834128,4.7108672
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.879899,5.917345,5.672964,4.535574,5.889149,5.3789862
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.902162,4.374648,6.162814,4.598914,6.180229,5.2437534
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.626293,5.339921,6.793762,5.082818,6.728493,5.9142574
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.585609,4.599398,6.461144,4.751694,5.889149,5.4573988
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.118648,4.599398,5.180624,3.457434,5.889149,4.8490506
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,6.147318,4.662565,6.240093,5.254266
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,5.485197,3.834196,5.889149,4.8859792
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,7.221729,5.375172,6.539515,5.671554
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,5.313089,4.578105,5.889149,5.0003394
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.851903,4.570744,6.461144,4.535574,5.889149,5.2617028
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,6.461144,3.562345,4.696152,4.788199
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.609828,6.62417,4.705345,5.889149,5.2900896
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.649254,5.674234,3.87934,5.495244,4.8640056
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.711326,4.599398,6.461144,4.168993,6.498433,5.2878588
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,3.777553,5.169452,2.919718,5.064645,4.3106648
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.626293,5.076296,5.918978,4.365002,5.889149,5.3751436
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.621956,4.599398,6.593643,4.535574,6.352893,5.3406928
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.985279,5.474302,7.192276,5.550674,8.22192,6.2848902
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.03965,4.826731,5.521357,4.374098,8.092546,5.3708764
