"","sample","tissue","endometriosis","severity","p210104_at","p207078_at","p207079_s_at","MED6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.518508,5.952074,6.103363,6.52464833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.788218,4.123984,6.735897,6.216033
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.647181,4.452717,4.682003,5.593967
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.096641,5.368491,6.161119,6.20875033333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09244,5.534501,6.325969,6.65097
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.337964,5.368491,6.590145,6.4322
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.051277,4.255056,4.717192,5.00784166666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.825828,5.321421,6.356777,6.501342
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.922113,5.656712,6.657041,6.74528866666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.284592,4.343272,6.260947,6.29627033333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.668522,5.132753,6.509535,6.43693666666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.072723,4.877911,6.063381,6.338005
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.223846,4.877911,4.467295,5.189684
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.55471,4.997051,5.956456,6.16940566666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.186193,6.531711,6.373435,6.697113
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.541022,5.58425,5.813602,6.312958
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.103123,5.977779,5.930885,6.33726233333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.450233,5.604077,6.736658,6.59698933333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.133769,5.131078,5.574615,6.27982066666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.168917,7.363128,5.518854,6.35029966666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.552326,7.121464,6.067219,6.91366966666667
