"","sample","tissue","endometriosis","severity","p202048_s_at","p202047_s_at","CBX6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.632632,6.773784,6.703208
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.94147,7.049322,7.995396
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.350237,8.248945,8.299591
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.257597,8.163854,8.2107255
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.896525,8.851049,8.373787
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.33397,8.162872,8.248421
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.011829,7.595511,7.80367
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.532001,8.694365,9.113183
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012726,8.200644,8.106685
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.919667,8.198777,8.059222
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.32333,8.226008,8.274669
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.719327,8.675687,8.697507
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.484328,8.119892,7.80211
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.424853,9.012508,8.7186805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.712655,8.121462,7.9170585
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.89668,8.308501,8.1025905
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.189462,8.117813,8.1536375
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.958228,8.323982,8.141105
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.874766,8.039133,7.9569495
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.143012,9.882072,10.012542
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.231268,9.838054,10.034661
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.732113,10.378324,10.5552185
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.179498,9.368894,9.274196
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.111616,10.577664,10.84464
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.49877,10.593852,10.546311
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.573679,10.167676,10.3706775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.955205,10.18089,10.5680475
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.920114,10.050512,9.985313
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.841468,8.90033,9.370899
