"","sample","tissue","endometriosis","severity","p37872_at","p216309_x_at","p214692_s_at","JRK"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.941227,6.427667,6.491811,6.620235
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.881125,5.661839,6.515805,6.352923
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,5.904887,7.185177,6.67452766666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.980839,6.810092,6.971941,6.92095733333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.325628,7.032858,7.519571,7.29268566666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.167091,6.917507,7.20736,7.09731933333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,6.244197,7.088909,6.75554166666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.584901,6.325575,6.979992,6.96348933333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.937073,6.565155,7.003503,6.83524366666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.504901,5.594807,6.83328,6.310996
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.005563,6.287816,6.619486,6.63762166666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.929156,5.841012,6.134719,6.301629
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,5.594807,6.024084,6.18413666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.104719,7.141415,7.153107,7.13308033333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,7.276439,7.20736,7.139106
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.113377,6.754978,6.828744,6.899033
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.077039,6.897503,6.766576,6.913706
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,6.184591,7.033212,6.71710733333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.902997,6.454605,6.995664,6.784422
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.989129,8.055842,7.480828,7.50859966666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.766252,8.906361,8.189833,8.287482
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.154208,8.073523,7.303531,7.51042066666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.72354,7.643754,7.20736,7.19155133333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.548059,8.539052,7.825612,7.97090766666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.647917,9.16421,8.445346,8.41915766666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.635195,9.0831,8.627669,8.44865466666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.14271,8.87919,8.116095,8.04599833333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.9029,8.035638,7.606254,7.51493066666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.594015,8.784821,8.070057,8.149631
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.657632,9.141225,8.477086,8.42531433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.143794,8.394408,7.738567,7.758923
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.964042,8.295096,7.725671,7.661603
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.074006,9.45751,8.754927,8.76214766666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.467578,8.897481,8.186818,8.183959
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.314432,7.028407,7.065888,6.802909
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.957295,8.36516,7.52683,7.61642833333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.852398,9.049851,8.579953,8.49406733333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.039711,8.049937,7.20736,7.432336
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.297068,8.669082,8.065082,8.01041066666667
