"","sample","tissue","endometriosis","severity","p201510_at","p210827_s_at","p229842_at","ELF3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.49926,7.741178,3.071218,5.10388533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004515,8.04781,5.380742,6.14435566666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.314066,9.03171,6.43728,6.92768533333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.4807,10.670714,7.917999,9.02313766666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.652571,6.805906,3.638778,4.699085
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.484609,10.19603,7.321344,8.33399433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.793836,10.916698,7.662568,9.12436733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.082083,8.429117,5.892472,6.801224
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.031251,6.995066,3.435066,4.820461
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.193061,10.605576,7.132419,8.310352
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.593491,7.641733,6.520505,6.585243
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.234294,9.286071,7.383701,7.968022
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51074,11.725492,7.768473,9.33490166666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.473925,7.951374,5.341457,5.922252
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.795421,7.502068,3.389294,5.22892766666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.022184,10.532353,8.517829,9.024122
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.385105,10.488833,8.741494,9.205144
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.719228,10.484268,7.549271,8.58425566666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.042719,9.540834,7.408401,7.997318
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.3266,11.245535,7.980746,9.517627
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.482411,9.162394,5.768285,7.13769666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.929941,10.557442,7.094786,8.52738966666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.282125,12.144238,8.22066,9.882341
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.109389,10.427974,6.37738,7.971581
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.298766,10.847421,6.764294,8.636827
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.989444,8.787625,2.730082,6.16905033333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.167895,9.570127,5.301162,7.01306133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.631095,9.975966,7.052297,8.219786
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.838082,8.886263,4.471706,6.732017
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.884383,9.840422,5.833166,7.51932366666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.924221,12.305859,6.997792,9.07595733333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.207943,11.383398,8.235821,9.609054
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.997527,10.071965,3.169387,6.41295966666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.097769,9.252556,3.86616,6.07216166666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.435896,6.727462,3.35845,5.173936
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.311069,10.563902,5.59758,7.82418366666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.687236,9.147609,4.698763,6.51120266666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.616249,7.559887,3.839405,5.671847
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.210393,8.413468,3.913306,6.17905566666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.846465,11.511457,7.044816,9.134246
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.862897,9.943406,7.172597,8.3263
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.701001,11.185686,7.838433,8.90837333333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.014679,10.822256,7.09301,8.643315
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.073085,11.63293,8.884074,9.863363
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.416444,10.817846,6.240654,8.15831466666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.593491,8.859421,5.985521,6.812811
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.114628,10.407897,6.641139,8.05455466666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.402617,12.205648,8.29334,9.96720166666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.306618,10.230944,6.146372,7.89464466666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.644143,8.636026,2.730082,5.67008366666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.484923,9.821606,4.90272,6.73641633333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.593491,10.521785,4.418131,6.844469
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.55552,10.780445,6.814018,8.38332766666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.042433,10.468587,7.170905,8.56064166666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606828,8.939613,6.319615,7.28868533333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.785307,6.865255,5.054562,5.56837466666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.96671,9.267296,5.035619,6.75654166666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.549056,9.924389,6.882004,8.118483
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.238232,10.229671,7.801159,8.756354
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.751227,7.041437,2.730082,4.84091533333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.753872,9.936167,6.216859,7.63563266666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.517228,9.081962,6.343262,7.31415066666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.045432,9.848551,7.30136,8.39844766666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.158856,9.71163,8.354943,8.74180966666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.943555,7.233108,5.052407,6.07635666666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.595543,8.315619,4.895363,6.602175
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.593491,8.750426,4.178187,6.17403466666667
