"","sample","tissue","endometriosis","severity","p1554078_s_at","p205963_s_at","DNAJA3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.337713,7.647813,7.992763
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.470453,7.9357,8.2030765
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.169323,6.773999,7.471661
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.193691,7.537034,7.8653625
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.083185,7.348213,7.715699
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.189619,7.304553,7.747086
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.177761,7.206619,7.69219
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.672426,8.018849,8.3456375
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.990473,7.644841,7.817657
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.483541,7.175738,7.8296395
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.009464,7.460745,7.7351045
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.059609,7.571173,7.815391
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.140339,7.006102,7.0732205
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.163506,7.073434,7.61847
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.616428,7.63748,8.126954
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.233575,7.400078,7.8168265
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.400927,7.606091,8.003509
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.221453,7.484223,7.852838
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.281742,7.173919,7.7278305
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.993504,7.720558,8.357031
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.385452,8.369781,8.8776165
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.316662,8.281808,8.799235
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7397,7.781313,8.2605065
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.418343,8.394256,8.9062995
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.51825,8.473423,8.9958365
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.493955,8.56966,9.0318075
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.368954,7.445158,7.907056
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.216523,8.225021,8.720772
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.225105,8.172213,8.698659
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.640927,8.569853,9.10539
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.44987,8.593781,9.0218255
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.745541,8.58176,9.1636505
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.368932,7.41977,7.894351
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.771488,7.77663,8.274059
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.838671,7.586361,8.212516
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.113504,8.105499,8.6095015
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.101927,8.053786,8.5778565
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.032561,7.887215,8.459888
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.959741,8.10898,8.5343605
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.936004,8.210732,8.573368
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.174847,8.22107,8.6979585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.068876,8.068387,8.5686315
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.046435,8.189834,8.6181345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.596821,7.454972,8.0258965
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.327588,8.344371,8.8359795
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.76883,7.695748,8.232289
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.326176,8.037719,8.6819475
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.010076,8.341123,8.6755995
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.75733,7.9946,8.375965
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.626075,7.470408,8.0482415
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.413284,7.694409,8.0538465
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.42165,7.492032,7.956841
