"","sample","tissue","endometriosis","severity","p218216_x_at","p220597_s_at","ARL6IP4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.859949,9.624998,9.7424735
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.035258,9.93756,9.986409
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.154766,9.726075,9.4404205
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.990741,10.164967,10.077854
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.602603,9.376072,9.4893375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.532674,9.630211,9.5814425
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.415918,9.571035,9.4934765
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.326606,10.512172,10.419389
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.728577,10.420184,10.0743805
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.14739,9.40915,9.27827
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.731548,9.702048,9.716798
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.625991,9.630907,9.628449
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.190792,9.227868,9.20933
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.952895,9.961031,9.956963
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.972245,9.696644,9.8344445
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.428945,9.677878,9.5534115
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.561849,9.413647,9.487748
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.108533,9.249369,9.178951
