"","sample","tissue","endometriosis","severity","p205665_at","p220968_s_at","TSPAN9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,8.532603,5.7729385
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,8.77548,5.894377
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.538503,7.608522,5.5735125
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.116088,7.831677,5.4738825
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,8.980521,5.9968975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,7.177514,5.095394
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,6.883068,4.948171
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,9.170586,6.09193
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.191296,9.011148,6.101222
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.315444,4.7757555
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.359988,8.915514,6.137751
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.331163,8.72487,6.0280165
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,6.463936,4.738605
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.544322,8.792881,6.1686015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.203565,8.945817,6.074691
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,7.948859,5.4810665
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.359988,8.436086,5.898037
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.013274,7.730689,5.3719815
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.193756,7.805168,5.499462
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.741153,10.068868,7.9050105
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.596449,10.651676,7.6240625
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.284866,9.996968,8.140917
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.155316,9.569467,7.3623915
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.526581,10.04093,7.7837555
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.48519,10.514305,7.9997475
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.139516,10.956208,8.547862
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.507696,10.794607,9.1511515
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.177838,10.058498,7.618168
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.596449,9.968729,7.282589
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.12036,10.786356,8.453358
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.340771,10.092438,7.7166045
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.746342,10.766226,8.256284
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.750339,11.002871,8.876605
