"","sample","tissue","endometriosis","severity","p243417_at","p227978_s_at","p227977_at","p234977_at","ZADH2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.30434,8.78008,8.258018,6.4378,7.1950595
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.169363,8.903121,8.070113,5.165393,6.8269975
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.540443,7.452528,7.522172,4.992329,6.126868
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.540443,8.1358,8.112519,5.981397,6.69253975
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.277991,9.266267,8.334691,7.172306,7.26281375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.868649,8.436039,8.526848,5.061281,6.47320425
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.973161,7.642816,8.863154,4.822652,6.57544575
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.932678,7.857539,8.310877,3.924772,5.7564665
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.295007,8.85931,8.427514,5.685471,6.8168255
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.540443,8.020041,8.62881,5.97124,6.7901335
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.550658,8.423784,8.233204,5.663898,6.467886
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.031523,7.945569,8.671417,5.859749,6.6270645
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.59648,6.917227,7.942993,4.124091,5.89519775
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.643187,9.248705,8.556546,6.721085,7.29238075
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.742045,9.050093,8.815153,6.477126,7.27110425
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.870782,9.149299,8.990971,6.958162,7.7423035
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.855119,9.311336,8.902471,5.853262,7.480547
