"","sample","tissue","endometriosis","severity","p209434_s_at","p209433_s_at","p235833_at","PPAT"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.399525,5.817882,3.534526,4.917311
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.982263,6.433329,3.312445,4.90934566666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.371865,4.856551,3.49688,4.57509866666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.252624,4.091068,3.312445,3.885379
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.542503,6.186499,2.635641,4.78821433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.757087,4.124714,3.534526,4.13877566666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.218528,3.4935,2.925963,3.545997
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.559601,6.055979,2.582055,4.732545
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.945846,4.860229,3.496852,4.76764233333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.838125,4.718556,2.57938,4.04535366666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.266989,4.245016,3.038519,4.183508
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.900657,4.534453,2.622922,4.35267733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.218528,4.357153,3.180386,3.918689
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.911376,5.361789,2.582055,4.95174
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.513134,6.066026,3.312445,5.29720166666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.851856,3.153564,2.730112,3.57851066666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.823486,5.935864,3.118083,4.625811
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.321966,4.761411,3.014385,4.36592066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.436977,5.560049,2.780408,4.592478
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.218528,3.153564,3.373563,3.581885
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.193636,3.156468,3.562183,3.97076233333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.560213,3.825111,3.534526,3.97328333333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.537491,5.589642,3.317568,4.481567
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31809,3.039099,3.534526,3.963905
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.494635,3.101681,3.534526,3.71028066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.803724,3.4935,5.142948,4.48005733333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.500117,3.699536,3.534526,3.911393
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.703712,4.520348,3.534526,4.58619533333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.112739,3.153564,4.673721,4.31334133333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.436977,3.507901,5.172806,4.70589466666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.42023,3.633718,4.40831,4.48741933333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.027261,4.909233,4.222794,5.053096
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.248458,3.422854,3.86765,3.51298733333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.218528,4.527201,4.943436,4.563055
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.334064,5.823529,3.518025,5.225206
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.152747,4.780009,2.756648,4.22980133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.436977,3.153564,4.426587,4.33904266666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.680652,3.455254,3.534526,3.890144
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.5129,3.825111,4.296746,4.544919
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.821801,4.229181,4.247084,4.43268866666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.553523,4.739716,4.245564,5.179601
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.447885,3.153564,3.343767,3.64840533333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.757087,3.51997,4.81876,4.36527233333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.87439,3.928022,3.534526,4.11231266666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.757087,2.931953,4.228078,3.97237266666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.32538,4.986884,4.926854,5.079706
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.757087,3.424561,5.181514,4.45438733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.511877,3.801932,4.415946,4.576585
