"","sample","tissue","endometriosis","severity","p1570035_at","p226133_s_at","TBC1D10A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.638585,6.251417,4.445001
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.979633,6.236049,4.607841
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.296689,6.664456,4.9805725
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.033766,7.784803,5.4092845
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.639546,6.065182,4.352364
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.853773,8.302449,5.578111
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.872645,7.163564,5.0181045
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.600734,6.232293,4.9165135
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.687627,4.461847
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.666055,7.342504,5.0042795
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.643921,6.251417,4.447669
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.643921,6.313412,4.4786665
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.707864,6.55342,5.130642
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.639546,6.958805,4.7991755
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.639546,6.486174,4.56286
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.848982,6.749323,4.7991525
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.690333,7.143838,4.9170855
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.215249,7.659782,5.4375155
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.937036,7.029689,4.9833625
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.216821,9.126564,7.1716925
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.772321,8.391562,6.0819415
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.75711,9.150707,6.9539085
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.829268,8.635006,6.732137
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.033766,9.161183,6.0974745
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.554498,9.521955,7.5382265
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.033766,8.507267,5.7705165
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.969207,9.60423,7.2867185
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.412765,9.113333,6.263049
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.577115,7.925097,5.751106
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.505686,8.934663,7.2201745
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.079423,9.159139,7.119281
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.751981,8.246494,5.4992375
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.309088,9.429307,6.3691975
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.909423,8.868525,6.388974
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.883233,6.22867,4.5559515
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.949374,9.137854,6.543614
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.280977,8.783172,6.5320745
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.193118,7.847903,5.5205105
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.964606,8.674874,5.81974
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.681738,9.976022,7.82888
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.969932,8.962585,7.4662585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.90115,9.069277,5.9852135
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.923407,8.485283,6.704345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.754846,8.458005,6.1064255
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.205325,9.668981,7.437153
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.530221,8.280053,5.905137
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.003454,8.810875,6.4071645
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.459677,8.92865,6.6941635
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.929453,8.636115,6.282784
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.934214,9.197155,7.0656845
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.445036,8.868676,6.156856
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.917825,9.962222,7.4400235
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.281715,8.876408,6.5790615
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.437331,8.737902,7.0876165
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.190704,8.649028,5.919866
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.639546,7.325267,4.9824065
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.816878,9.234381,6.5256295
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.217607,9.285733,6.25167
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.037234,8.138778,5.588006
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.475809,8.370198,5.9230035
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.189294,8.437721,5.8135075
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.044457,8.460898,5.7526775
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.950022,8.350379,6.1502005
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.770329,6.969399,5.369864
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.712184,7.07142,4.891802
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.51184,8.354141,6.4329905
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.685218,8.160654,5.422936
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.872645,4.655497,3.764071
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243523,5.933544,4.0885335
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.881632,7.20657,5.044101
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.639546,5.922516,4.281031
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.639546,5.990171,4.3148585
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.60012,6.682856,4.641488
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.643921,6.537553,4.590737
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.639546,6.411306,4.525426
