"","sample","tissue","endometriosis","severity","p212082_s_at","p214002_at","MYL6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.394202,7.645868,11.020035
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.508107,8.503047,11.505577
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.536421,7.568985,11.052703
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.006589,8.933721,11.970155
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.56757,7.856777,11.2121735
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.110055,8.26172,11.6858875
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.758387,8.45751,11.6079485
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.737361,7.79547,11.2664155
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.733047,8.187667,11.460357
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.154957,8.542503,11.84873
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.89974,7.299514,11.099627
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.732513,7.476491,11.104502
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.838988,8.628734,11.733861
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.968401,7.816835,11.392618
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.561087,7.544666,11.0528765
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.021151,8.340269,11.68071
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.880827,8.688526,11.7846765
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.999263,8.561663,11.780463
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.899988,7.4868,11.193394
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.632579,6.735413,10.683996
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.313704,6.764443,10.5390735
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.895409,6.642232,10.7688205
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.244376,7.466618,10.855497
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.587502,7.586738,11.08712
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.877247,7.65827,11.2677585
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.835334,8.095838,11.465586
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.374104,7.341099,10.8576015
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.675107,8.154703,11.414905
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.16093,8.547383,11.8541565
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.690329,7.427696,11.0590125
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.194021,8.092035,11.143028
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.591926,8.188822,11.390374
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.927864,7.800472,10.864168
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.502151,7.855923,11.179037
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.805912,6.666981,10.7364465
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.702962,7.068121,10.8855415
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.016395,7.061057,10.538726
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.989418,7.153731,11.0715745
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.584408,7.290906,10.937657
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.118524,7.969022,11.043773
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.662546,7.830341,11.2464435
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.763481,7.562687,11.163084
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.954174,8.034996,11.494585
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.683161,7.80699,11.2450755
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.475391,8.064926,11.2701585
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.786747,7.610334,11.1985405
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.355789,8.168174,11.2619815
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.235993,6.784282,10.5101375
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.749673,7.168771,10.959222
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.227565,6.946364,10.5869645
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.943909,8.465565,11.204737
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.571094,7.654676,11.112885
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.613543,7.609346,11.1114445
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.609061,7.597346,11.1032035
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.662697,7.086071,10.874384
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.702845,6.156754,10.4297995
