"","sample","tissue","endometriosis","severity","p218382_s_at","p218381_s_at","U2AF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.685881,10.348117,8.016999
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.629802,9.611178,8.12049
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.329324,9.339734,7.834529
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.994294,9.780272,7.887283
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.061134,10.895775,8.4784545
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.64353,9.76087,8.2022
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.629802,9.266203,7.9480025
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.178927,9.717518,7.4482225
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.368237,10.006742,7.6874895
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.17244,9.778524,7.975482
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.692773,10.403407,8.04809
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.349666,10.139341,7.7445035
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273636,10.272015,7.7728255
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.383929,10.451343,7.917636
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.842499,10.252249,8.047374
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.216266,10.242342,7.729304
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.455813,9.956014,7.2059135
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.016739,10.273914,8.1453265
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.320431,10.043337,8.181884
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.076935,11.059836,9.0683855
