"","sample","tissue","endometriosis","severity","p1558331_at","p220605_s_at","SIRT2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.712627,6.984708,5.8486675
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,6.990965,5.678455
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.516933,7.970537,6.243735
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,7.267171,5.816558
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.616022,6.936862,5.776442
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.805502,7.25183,6.028666
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.145279,8.355623,5.750451
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.561942,7.48175,6.021846
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.120778,7.477353,6.2990655
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,6.408327,5.387136
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,6.530157,5.448051
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.69338,6.853074,5.773227
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,6.940456,5.6532005
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.68752,6.749124,5.718322
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.487974,6.720394,6.104184
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.463867,6.372297,5.418082
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.433051,6.178791,5.305921
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.287233,6.738925,6.013079
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,5.563292,4.9646185
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.710356,8.112304,7.41133
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.463882,7.743693,6.6037875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.420267,8.552088,7.4861775
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.319136,7.837637,7.0783865
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.825017,8.905156,6.8650865
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.490782,8.774504,8.132643
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.650491,8.989848,8.3201695
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.580307,9.126982,7.8536445
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.797808,7.967541,6.8826745
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.815006,8.245432,7.530219
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.654715,9.061333,8.358024
