"","sample","tissue","endometriosis","severity","p224847_at","p224848_at","p224851_at","CDK6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.22807,6.932808,9.78175,8.31420933333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.64443,6.284445,9.428778,7.78588433333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.097895,5.285091,7.865183,6.41605633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.541828,5.157774,7.302594,6.000732
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.546254,7.789056,9.399069,8.244793
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.443205,5.085971,5.948426,5.15920066666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.513005,4.363203,5.824787,4.56699833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.954515,5.304697,8.247668,6.83562666666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.755609,7.100401,10.013272,8.28976066666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.752968,5.397946,7.907938,6.35295066666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.917845,6.82872,8.147611,7.29805866666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.730771,6.128731,8.376674,7.07872533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.865,5.312545,6.787174,5.321573
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.084509,6.964722,9.94109,8.330107
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.569621,7.114089,10.552364,8.745358
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.674051,5.239172,7.835352,6.249525
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.374772,5.479775,6.769306,5.87461766666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.109097,5.066071,5.769687,5.31495166666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.794392,5.418944,7.426725,6.21335366666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.86087,5.082976,4.395191,5.11301233333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.901814,6.085102,4.717191,6.23470233333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.356998,5.004135,4.637031,5.33272133333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.81939,5.662968,6.103196,5.86185133333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548508,5.285091,3.148282,4.99396033333333
