"","sample","tissue","endometriosis","severity","p218943_s_at","p222793_at","DDX58"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.297972,5.764877,4.5314245
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.685524,6.010509,4.8480165
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.181637,6.039555,5.110596
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.792166,7.41948,6.605823
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.964714,5.787653,4.8761835
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.093973,6.557766,5.3258695
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.028124,6.377706,5.702915
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621739,6.134088,5.3779135
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.445543,5.592691,5.019117
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.449744,5.784768,5.117256
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.579564,6.068675,5.8241195
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.616877,6.427182,5.5220295
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.719681,6.052418,5.8860495
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.078444,5.992543,5.0354935
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.308942,5.764877,4.5369095
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.497606,7.693688,7.095647
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.083459,6.951346,6.0174025
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.438755,6.50591,5.9723325
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.57907,5.962568,5.770819
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.544236,5.35363,4.448933
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.222528,3.532692,3.37761
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.42893,5.420621,4.4247755
