"","sample","tissue","endometriosis","severity","p218813_s_at","p224907_s_at","p224432_at","SH3GLB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.57048,7.523833,5.860172,7.651495
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.691082,6.808448,5.76144,7.42032333333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.540562,5.664465,4.489663,5.23156333333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.267357,7.79987,5.843454,7.63689366666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.330465,6.842164,4.882665,7.01843133333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.614311,6.790046,5.1172,6.840519
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.014008,6.612212,5.639454,6.42189133333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.462375,6.350712,4.956659,6.256582
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.398715,7.294666,5.485722,7.39303433333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.426959,6.220117,6.552873,7.06664966666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.421964,5.560681,5.447813,6.143486
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.96047,6.696787,4.802261,6.81983933333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.292271,7.934958,6.479742,7.90232366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.190804,6.085735,5.186312,6.487617
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.850082,6.790401,3.991852,6.54411166666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.331809,7.284382,5.247096,7.28776233333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.3652,7.643278,5.854872,7.62111666666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768401,6.701677,4.911133,6.793737
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.95671,6.078058,4.309279,5.781349
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.212125,7.826798,7.249894,7.762939
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.522274,7.894984,7.20313,7.87346266666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.375807,7.924736,6.66808,7.65620766666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.924123,7.511536,6.990892,7.14218366666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.712394,8.158795,6.939133,7.936774
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.122585,8.589532,7.168828,8.29364833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.588853,9.405496,8.233011,9.40912
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.11521,8.383472,8.685416,8.39469933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.927328,8.340166,6.955948,8.07448066666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.778523,8.208721,6.880814,7.95601933333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.410296,8.337976,7.834677,8.19431633333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.635672,8.740998,7.713724,8.36346466666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.137623,8.267411,6.962025,8.122353
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.801002,9.365458,8.531925,9.232795
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.740667,9.258193,8.126671,9.04184366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.842676,7.28458,6.631656,7.586304
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.772268,7.783787,7.419735,7.99193
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.261017,8.018306,7.775749,8.01835733333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.308958,7.367721,7.509757,7.728812
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.268515,7.014977,6.836019,7.039837
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.205394,9.243745,7.903724,8.78428766666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.985095,7.071423,7.150431,6.73564966666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.028717,7.798151,7.277339,8.03473566666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.667876,7.242292,7.151219,7.02046233333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.587535,7.546057,6.973085,7.36889233333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.693966,7.703946,7.185877,7.861263
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.327937,7.192964,7.464518,7.328473
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.535651,8.271556,8.622795,8.47666733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.791567,7.306696,7.123057,7.07377333333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.147029,8.71276,7.936121,8.59863666666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.1856,8.872458,8.894584,8.984214
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.707252,8.935503,8.505738,9.04949766666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.312715,8.529374,7.506219,8.449436
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.492031,7.682986,7.700372,7.958463
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.405043,8.439363,7.327632,8.39067933333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.184609,7.210048,7.088403,7.16102
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.833499,6.428788,6.434753,6.56568
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.588357,8.125004,8.049202,8.25418766666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09321,7.676412,6.835763,7.53512833333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.676688,6.667104,5.835561,6.726451
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.161898,8.033923,7.127517,8.10777933333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.213518,8.20893,6.71867,8.04703933333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.782261,7.167364,6.585133,7.17825266666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.018285,7.458591,6.364201,7.280359
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.819839,5.965814,6.280668,6.35544033333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.983653,7.36001,6.104592,7.48275166666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.794948,8.169558,7.037399,8.000635
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.200707,7.551543,7.260543,7.670931
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.302674,5.405618,5.536278,5.41485666666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.764538,5.337214,5.70832,5.60335733333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.10607,5.907844,6.275997,6.42997033333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.677796,5.22025,6.166082,6.021376
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.640461,6.989378,6.342174,7.32400433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.732124,5.799961,6.047828,6.52663766666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.721518,5.497703,5.572478,5.93056633333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.532704,5.926927,5.895802,6.451811
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.709854,6.448428,6.229122,6.79580133333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.174118,5.547487,5.911664,5.87775633333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.410348,6.310606,5.443049,6.388001
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.363807,5.278075,5.223705,5.62186233333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.801276,7.755767,7.317501,7.95818133333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.579514,5.285658,5.61532,5.82683066666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.412499,5.513382,4.743567,5.55648266666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.303905,6.635263,5.917602,6.95225666666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.116609,8.262116,6.795562,8.05809566666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.562878,7.255769,6.449016,7.42255433333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.717607,7.496268,6.779887,7.66458733333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.75936,8.341124,7.630179,8.24355433333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.952684,8.206154,7.550407,8.236415
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.507333,7.280402,6.265371,7.35103533333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.961748,7.801123,7.33084,8.031237
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.93671,8.921737,7.648416,8.835621
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.289219,7.890754,7.400124,7.86003233333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.090266,7.875332,7.578795,7.848131
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.957028,7.527463,6.59347,7.35932033333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.392554,8.412848,7.897569,8.23432366666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.602182,7.353173,6.991042,7.31546566666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.689792,6.714421,6.846863,6.75035866666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.308035,7.460873,6.992507,7.253805
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.7607,8.517004,7.468699,8.58213433333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.477457,8.231349,8.560215,7.75634033333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.645297,7.882261,6.748561,7.75870633333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.061171,7.123595,6.699061,7.294609
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.668731,6.860616,6.354744,6.62803033333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.889364,8.352474,8.382362,8.5414
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.298823,7.690827,7.234859,7.741503
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.912401,7.859655,6.678892,7.48364933333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.872052,8.092077,6.980985,7.64837133333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.076906,8.304875,7.717355,8.36637866666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.213029,7.129643,6.768428,7.03703333333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.18696,7.669514,7.231179,7.69588433333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.37198,8.497828,7.412109,8.09397233333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.609634,8.373638,7.033699,8.33899033333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.064426,8.08119,7.077501,8.07437233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.234584,6.668974,4.272204,6.39192066666667
