"","sample","tissue","endometriosis","severity","p226842_at","p235089_at","p239223_s_at","FBXL20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.971994,5.231837,4.938763,5.04753133333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.159565,4.976424,4.363607,5.166532
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.006755,6.443816,4.023266,5.15794566666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.830382,4.194343,4.844163,5.28962933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.292995,5.647283,4.947497,5.295925
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.870564,5.773655,5.499834,6.04801766666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.498066,5.620514,4.844163,5.987581
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.581015,5.756221,5.158235,5.83182366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.476832,5.26659,5.050562,5.59799466666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.605004,6.233575,4.950093,5.596224
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.344666,5.285854,4.947497,5.19267233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.028199,5.454092,4.947497,5.476596
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.260569,4.835601,4.947497,5.01455566666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.964583,5.9293,5.01817,5.637351
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.790346,6.003304,5.188665,5.66077166666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.374723,5.921847,5.833184,6.37658466666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.020504,5.421064,5.746583,6.062717
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.102468,4.476919,4.947497,4.84229466666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347161,5.595334,5.174858,5.372451
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.033213,6.366747,7.650436,7.01679866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.353111,5.411913,5.703477,5.82283366666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.388596,5.891491,6.001453,6.09384666666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.636182,5.58316,4.856883,5.692075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.261227,4.471226,4.947497,5.22665
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.140955,4.801787,6.962663,6.30180166666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.923855,3.785251,6.697091,5.80206566666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,3.783208,3.892824,4.65658
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,6.113764,6.346581,6.251351
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.103594,4.944267,6.45361,6.50049033333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.302639,5.503745,6.773067,6.52648366666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.40002,4.369675,4.844163,5.53795266666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.207816,5.661339,6.858771,6.57597533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.561452,4.233881,5.218971,5.33810133333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.962237,4.334936,4.85086,5.04934433333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.955206,5.936768,5.153683,5.68188566666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.3983,5.363961,6.68189,5.814717
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.920691,4.62738,6.892211,6.14676066666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.293708,5.62544,5.682299,5.867149
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.293708,4.22633,5.575365,5.36513433333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.277871,4.112803,6.148238,5.846304
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.05448,5.798641,6.771544,6.20822166666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.293708,6.09439,6.129826,6.17264133333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,5.061652,5.874394,5.74325133333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.758568,6.173668,5.211288,6.04784133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.543425,4.398054,6.276866,5.406115
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.551709,5.137994,5.491715,5.72713933333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,4.699723,4.844163,5.279198
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.516037,5.660376,6.852847,6.67642
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.677121,4.293578,6.560071,5.84359
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.858316,3.845572,6.357133,5.35367366666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.431655,4.233881,5.358304,5.00794666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.025309,4.622192,4.844163,5.49722133333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.253021,4.233881,5.377074,5.62132533333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.134323,6.014204,7.325355,6.82462733333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.753176,5.499964,5.683139,6.312093
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.385927,6.07651,5.463482,5.97530633333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,4.804876,4.947497,5.34869366666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.180124,5.822193,5.30276,5.768359
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.342959,6.453997,6.657652,6.81820266666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.716874,5.609897,5.70812,6.01163033333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.712199,4.994572,6.066186,5.924319
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.293708,6.219409,4.846106,5.78640766666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.953654,6.187631,6.52912,6.55680166666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.514629,6.903342,6.766131,7.06136733333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.706585,6.430791,6.396095,6.511157
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.293708,5.503745,6.980185,6.25921266666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.75239,5.765645,5.333206,5.61708033333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.202908,7.479179,5.884395,6.18882733333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.219868,7.132828,5.473409,6.27536833333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.293708,6.176814,5.578712,6.01641133333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.444171,7.246727,6.291635,6.66084433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.354809,6.596902,5.709535,6.22041533333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.414128,7.024145,5.829751,6.42267466666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.198858,6.858274,5.582322,6.21315133333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.140259,6.967252,5.780177,6.295896
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.225884,6.093259,5.121651,5.813598
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.671131,7.301485,5.67705,6.21655533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.293708,7.167096,5.797428,6.41941066666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.464996,7.224137,5.551094,6.08007566666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.558779,5.862795,5.169321,5.86363166666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.171681,7.239868,5.746896,6.052815
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.76715,7.027524,5.497944,6.09753933333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.293708,6.080101,5.654182,6.00933033333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.806,6.478557,5.425855,6.236804
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.293708,6.495368,5.137004,5.97536
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.872205,5.094099,5.14174,5.369348
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.293708,4.233881,5.18619,5.23792633333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.987311,5.206125,5.630325,5.60792033333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.941393,6.060974,5.249806,5.75072433333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.293708,5.868695,5.972706,6.04503633333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.496538,5.355131,5.714783,5.855484
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.666992,4.116256,6.294809,6.026019
