"","sample","tissue","endometriosis","severity","p226638_at","p230196_x_at","ARHGAP23"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.403672,4.871008,5.63734
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.187551,5.24203,5.7147905
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.934036,6.245526,6.589781
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.351875,5.496181,5.924028
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.29486,5.369763,6.3323115
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.031276,5.48912,6.260198
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.231287,6.3453,6.7882935
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.523199,5.232789,5.877994
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.819606,5.894064,6.356835
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.977278,5.509136,5.743207
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.301313,5.24203,5.7716715
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.902267,5.24203,6.0721485
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.478931,6.185657,6.332294
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.821236,5.729042,6.275139
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.563101,5.804488,6.1837945
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.126619,5.24203,5.6843245
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.234086,5.24203,5.738058
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.087198,5.003727,5.5454625
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.549236,5.122155,5.8356955
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.705898,6.139417,7.4226575
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.297651,5.927694,7.1126725
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.531366,6.107522,7.319444
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.385008,5.24203,7.313519
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.277755,6.689953,7.983854
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.663936,6.559128,8.111532
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.036389,6.601902,7.8191455
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.353382,7.071396,8.212389
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.319072,5.915547,7.1173095
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.177253,5.817984,6.9976185
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.331679,6.365594,7.8486365
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.966859,6.899573,7.933216
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.19704,5.743882,7.470461
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.244202,6.665258,8.45473
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.48188,7.29973,8.390805
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.229367,4.426515,5.827941
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.845837,6.501698,7.6737675
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.41117,6.071084,7.741127
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.205366,5.576875,6.8911205
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.035727,5.900116,7.4679215
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.722603,6.920554,8.3215785
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.933845,5.67676,7.3053025
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.232372,6.526067,8.3792195
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.420332,6.290761,7.8555465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.781458,5.213227,6.9973425
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.344454,6.593857,7.9691555
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.688222,5.906097,7.2971595
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.15027,6.552748,7.851509
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.706179,6.210048,7.9581135
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.727842,6.395207,7.5615245
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.52571,7.03006,7.777885
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.159981,7.538778,8.3493795
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.426037,7.177563,8.3018
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.100502,5.384525,7.2425135
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.779419,5.866021,6.82272
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.707992,5.766094,7.237043
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.225582,4.865818,6.0457
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.267399,6.190541,7.72897
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.73862,6.143458,7.441039
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.579476,4.806847,6.1931615
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.983734,6.446527,7.2151305
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.481886,6.048142,7.265014
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.582258,5.24203,6.912144
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.339676,5.24203,6.790853
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.949334,4.735026,6.34218
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.628963,4.298688,5.4638255
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.765992,5.684836,7.225414
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.222998,5.960602,7.5918
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.576426,4.832949,5.7046875
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.69792,4.735026,5.716473
