"","sample","tissue","endometriosis","severity","p202334_s_at","p202333_s_at","p228588_s_at","UBE2B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.738956,10.033638,8.365647,9.04608033333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.263284,10.194475,9.622556,9.02677166666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.688096,10.211651,8.389159,8.76296866666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.529151,10.784877,7.843085,9.052371
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.454714,10.336444,8.505479,8.76554566666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.865804,10.734209,8.532626,9.37754633333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.997987,10.175529,9.106623,9.09337966666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.733804,10.428038,9.824865,9.32890233333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.743157,10.378581,8.530788,8.88417533333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.519794,10.613506,9.510919,9.548073
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.242967,10.371932,9.223434,9.27944433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.077572,10.405179,8.992891,9.15854733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.219887,10.721318,8.681275,9.54082666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.421333,10.414822,7.933082,8.923079
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.33776,10.215501,7.588279,8.71384666666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.25544,11.012521,8.783535,9.683832
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.636906,11.111299,9.144602,9.964269
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.991249,10.251712,8.52476,9.255907
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.188656,10.717179,8.936426,9.614087
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.51394,11.029656,10.419408,9.987668
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.914019,9.778606,9.002823,8.56514933333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.248657,10.620391,9.275897,9.38164833333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.331386,10.68426,7.891783,8.969143
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.660208,9.978551,9.321998,8.986919
