"","sample","tissue","endometriosis","severity","p1557067_s_at","p1557066_at","p223295_s_at","p220143_x_at","p223546_x_at","LUC7L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.828857,7.001506,10.325017,7.785305,7.983879,8.3849128
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.261002,5.360526,9.11836,7.255594,7.38259,7.4756144
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.571479,4.027506,9.08549,7.055382,6.866794,6.9213302
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.018022,4.349917,9.932422,7.701835,7.926852,7.5858096
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.638712,6.291035,9.771039,6.922797,7.387378,7.8021922
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.548751,4.7551,9.955789,7.624586,8.17335,7.8115152
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.232338,4.432495,8.665518,6.932694,7.387378,6.9300846
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.623469,4.978263,10.158045,8.081507,8.657277,8.0997122
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.769845,6.705695,10.441639,8.351818,8.266612,8.5071218
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.122518,4.918629,9.479069,7.288515,7.387378,7.4392218
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.554706,5.715933,9.984982,7.429396,7.387378,7.814479
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.745274,6.248981,10.181526,7.576414,7.659479,8.0823348
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.458386,5.804992,10.499971,7.930443,7.800536,8.0988656
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.386136,4.027506,10.248948,7.685777,7.927911,7.6552556
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.408833,6.526464,10.363568,8.082689,7.88274,8.2528588
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.448985,5.811547,9.836126,7.656396,7.683021,7.887215
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.922144,5.580368,9.968255,7.600896,7.414922,7.697317
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.548103,6.360273,9.526181,7.292452,7.387378,7.8228774
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.769763,5.556155,9.397948,6.928881,6.525635,7.2356764
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.397798,3.43205,9.732026,6.96439,7.057408,6.7167344
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.967637,3.47773,9.297227,7.024322,6.971088,6.5476008
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.694443,3.137589,9.205689,6.333507,6.108399,6.0959254
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.443228,3.819535,10.328954,7.759087,7.356357,6.9414322
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.849718,3.47773,9.409833,7.290452,7.178919,6.6413304
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.886129,3.510259,8.844944,6.519908,6.472056,6.2466592
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.894981,3.137589,8.942259,6.517386,5.756468,5.8497366
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.982528,4.027506,9.194539,6.479765,5.756468,5.6881612
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.205889,4.027506,9.405983,7.183477,6.94999,6.954569
