"","sample","tissue","endometriosis","severity","p219616_at","p229222_at","ACSS3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.947235,6.114597,5.530916
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.48208,4.784582,5.133331
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.097613,5.499135,4.798374
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.95825,4.488875,4.2235625
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.979859,5.737057,5.358458
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.540302,3.910717,3.7255095
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.046558,3.035352,4.040955
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.644251,4.034736,3.8394935
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.907491,6.1048,5.5061455
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.99052,5.810532,5.400526
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.907317,3.931218,3.9192675
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.540302,4.488875,4.0145885
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.000857,4.243439,4.122148
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.320961,4.822801,4.571881
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.573259,6.479834,5.5265465
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.062405,5.709532,4.8859685
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.888906,4.488875,4.1888905
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.536724,4.183902,3.860313
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.879763,5.414826,5.1472945
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.614207,4.921851,4.268029
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.717957,4.531948,4.1249525
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.552895,4.138288,3.8455915
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.996657,3.523473,3.260065
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.016769,4.283362,4.1500655
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.536724,3.612664,3.574694
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.499101,2.989683,3.244392
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.996657,2.704741,2.850699
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.536724,4.47035,4.003537
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.046809,4.488875,4.267842
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.339168,3.599548,3.469358
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.419491,3.23107,3.3252805
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.163774,4.129907,3.6468405
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.540302,2.854339,3.1973205
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.045861,3.058909,3.552385
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.534106,6.272943,5.9035245
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.536724,3.842836,3.68978
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.536724,4.514285,4.0255045
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.083453,5.296972,5.1902125
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.540302,3.732115,3.6362085
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.300926,4.292408,3.796667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.560469,3.571145,3.565807
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.536724,2.480862,3.008793
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.540302,4.439154,3.989728
