"","sample","tissue","endometriosis","severity","p208720_s_at","p226404_at","RBM39"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.380803,5.602243,8.491523
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.025531,5.232704,8.6291175
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.783081,2.481943,6.632512
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.801089,4.268585,8.034837
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.970651,5.901668,8.4361595
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.549646,4.713456,8.131551
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.788271,2.480761,6.634516
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.553356,2.481943,7.0176495
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.684593,5.101444,8.3930185
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.314818,5.432578,8.373698
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.085279,4.243214,7.6642465
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.280173,3.042886,7.1615295
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.138665,3.024754,7.0817095
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.117191,5.190434,8.1538125
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.061795,4.751248,7.9065215
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.145576,6.299036,8.722306
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.381024,3.684058,7.532541
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.937772,4.714754,7.826263
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.783081,6.153777,8.468429
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.765753,2.480761,6.123257
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.697404,2.236067,5.9667355
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.088264,2.236067,5.6621655
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.974054,2.959618,5.966836
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.313457,2.236067,5.774762
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.951428,2.253447,5.6024375
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.731476,2.481943,5.6067095
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.654665,2.481943,5.568304
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.99638,2.236067,6.1162235
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.819444,2.253447,6.0364455
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.621103,2.236067,5.428585
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.486954,2.236067,5.3615105
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.244574,2.236067,5.7403205
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.364525,2.577429,4.970977
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.180493,2.253447,5.21697
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.378934,4.107078,7.743006
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.454884,2.481943,5.9684135
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.685258,2.253447,5.4693525
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.51554,2.236067,6.3758035
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.025151,2.480761,5.752956
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.086426,2.253447,5.6699365
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.628065,2.260273,5.944169
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.622412,2.236067,5.4292395
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.230998,2.480761,5.8558795
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.048554,2.236067,6.1423105
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.611955,2.253447,5.432701
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.830401,2.480761,6.155581
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.884661,2.236067,5.560364
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.991001,2.253447,5.622224
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.04538,2.356244,5.700812
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.924128,2.253447,5.0887875
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.652387,2.253447,5.452917
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.665153,2.253447,5.4593
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.584859,2.236067,5.910463
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.549882,2.461769,6.0058255
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.035619,2.236067,6.135843
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.166925,2.483396,6.8251605
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.262866,2.253447,6.2581565
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.156761,2.524141,6.840451
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.384735,2.58065,6.9826925
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.927135,2.236067,6.081601
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.134647,2.480761,6.307704
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.038655,2.286703,6.662679
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.932628,2.481943,6.7072855
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.783081,2.481943,6.632512
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.488124,2.481943,6.9850335
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.21877,2.480761,6.3497655
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.51899,2.263805,6.3913975
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.08348,3.745443,7.4144615
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.987578,2.908394,6.947986
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.820714,5.894592,8.857653
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.598553,4.9728,8.2856765
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.631816,5.571538,8.601677
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.12399,5.825666,8.974828
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.660391,5.144273,8.402332
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.62901,5.435743,8.5323765
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.539562,5.172993,8.3562775
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.003447,4.018483,7.510965
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.97289,2.481943,6.7274165
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.957012,2.480761,6.7188865
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.806759,5.400834,8.1037965
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.97578,2.995844,6.985812
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.965549,2.995691,6.98062
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.367569,2.481943,6.424756
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.160019,2.480761,6.82039
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.833043,2.26363,6.5483365
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.82435,2.253447,6.0388985
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.518133,2.236067,5.3771
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.827165,2.236067,6.031616
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.190167,2.297758,6.2439625
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.076575,2.236067,5.656321
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.747022,2.236067,5.9915445
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.821148,2.480761,5.6509545
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.74376,2.236067,5.4899135
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.309965,2.351377,6.330671
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.91971,2.236067,6.0778885
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.990256,2.236067,6.1131615
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.889373,2.351488,6.1204305
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.864317,2.399201,6.131759
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.119327,2.481858,5.8005925
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.72516,2.236067,5.4806135
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.120146,2.253447,6.1867965
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.613806,2.34541,6.479608
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.126414,2.236067,6.1812405
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.660942,2.300015,5.4804785
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.595518,2.236067,5.9157925
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.241389,2.236067,6.238728
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.894969,2.236067,6.065518
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.285188,2.481943,5.8835655
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.123817,2.236067,6.179942
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.670382,2.236067,5.9532245
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.59086,2.480761,6.0358105
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.987459,2.240491,6.113975
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.646703,2.236067,6.441385
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.992904,5.570964,8.281934
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.977975,5.663925,8.32095
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.068288,5.031519,8.0499035
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.882702,5.258556,8.070629
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.154834,2.634024,6.894429
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.956187,4.258519,7.607353
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.677487,2.481943,6.579715
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.879231,2.623973,7.251602
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.798694,2.534849,7.1667715
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.63664,6.219064,8.927852
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.684273,3.569441,7.626857
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.401418,2.581237,6.9913275
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.713065,6.232047,8.972556
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.704264,2.971558,7.337911
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.066507,3.37718,7.7218435
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.645292,2.480761,7.0630265
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.191325,2.98231,7.5868175
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.427447,3.598489,7.512968
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.296771,5.93023,8.6135005
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.576357,6.295177,8.935767
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.545477,6.578217,9.061847
