"","sample","tissue","endometriosis","severity","p226670_s_at","p231838_at","PABPC1L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.664225,7.502863,7.583544
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.148131,6.452425,5.800278
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.199555,5.826245,5.5129
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.660169,6.735128,5.6976485
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.122693,6.150093,6.136393
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.618415,5.983038,5.3007265
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.5462,4.741127,4.1436635
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.155226,6.708529,6.9318775
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.71555,8.11409,7.41482
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.766332,5.960852,5.363592
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.568782,6.450349,6.0095655
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.462687,6.513205,5.987946
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.462687,7.82607,6.6443785
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.95636,7.475945,7.2161525
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.614478,7.649115,7.1317965
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.200312,5.860954,5.030633
