"","sample","tissue","endometriosis","severity","p1560853_x_at","p1569191_at","ZNF826P"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,3.039821,2.6782265
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,2.642068,2.4745895
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,2.491576,2.404104
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.282341,3.039821,2.661081
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.663799,4.23903,3.4514145
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,2.928131,2.617621
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,2.991908,2.65427
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,2.961511,2.634311
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.488205,2.922397,2.705301
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.427357,2.642068,2.5347125
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.488205,5.305258,3.8967315
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,2.97913,2.647881
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.488205,2.642068,2.5651365
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,3.675853,2.991482
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.331013,3.039821,2.685417
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,4.287915,3.297513
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.316632,5.07408,3.695356
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,3.427871,2.867491
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.307111,3.100285,2.703698
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.307111,4.254476,3.2807935
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.483339,4.677654,3.5804965
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.316632,4.700349,3.5084905
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.534066,2.8850665
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.53363,3.871412,3.202521
