"","sample","tissue","endometriosis","severity","p1554408_a_at","p202338_at","TK1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.872028,8.136128,7.504078
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.224518,9.294201,9.2593595
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515591,7.021606,5.7685985
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.205518,5.272564,4.239041
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.625158,8.312508,8.468833
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.085065,5.272564,5.1788145
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.408884,5.651945,4.5304145
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.828071,7.376812,7.1024415
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.035312,8.578524,8.306918
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.445321,6.18924,5.8172805
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.806492,6.370917,6.5887045
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.055405,6.521318,6.2883615
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.852395,5.272564,4.5624795
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.793401,8.597877,8.195639
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.624079,9.054065,8.839072
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.424914,5.272564,4.348739
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91264,4.836737,4.3746885
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.703274,4.882135,4.2927045
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.530796,5.141271,4.3360335
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.340379,8.009895,7.675137
