"","sample","tissue","endometriosis","severity","p1559822_s_at","p212251_at","p212248_at","MTDH"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.175194,8.824402,10.870249,8.62328166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.072818,9.337388,10.607821,8.67267566666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.777994,8.350887,9.156663,7.761848
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.056024,9.705851,10.986902,9.24959233333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.676782,10.227107,11.11101,9.671633
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.818425,9.576357,11.099147,9.164643
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.118973,8.470737,9.303322,8.29767733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.777994,8.97622,10.508367,8.42086033333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.237807,9.410722,10.712662,9.120397
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.774374,9.446123,11.032461,9.08431933333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.476101,8.771723,10.63984,8.62922133333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.553394,8.952476,10.535634,8.68050133333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.227884,7.098994,9.563523,7.63013366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.525801,9.940543,10.691003,9.38578233333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.662105,9.717252,10.992611,9.45732266666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.434906,9.297239,10.761614,9.16458633333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.312005,9.610007,10.948561,9.290191
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.375005,9.17952,11.305518,9.286681
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.077999,9.457972,10.845201,9.12705733333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.523302,9.796345,9.644214,7.98795366666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.073722,9.749478,10.061472,8.29489066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.51032,10.059023,9.979037,8.51612666666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.006204,9.024392,9.736615,8.255737
