"","sample","tissue","endometriosis","severity","p1558111_at","p201151_s_at","p201152_s_at","MBNL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.090781,8.297967,10.413337,8.93402833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.610477,8.587405,10.277565,8.825149
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.46559,8.084671,11.09712,8.88246033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.822897,8.017701,10.181638,8.67407866666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.518077,9.973956,10.821012,9.43768166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.778818,7.328845,10.039068,8.38224366666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.460415,7.298639,10.67033,8.47646133333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.257937,6.954874,10.523979,8.24559666666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.766994,8.971563,11.249276,9.662611
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.47275,8.616224,10.392633,8.82720233333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.568795,9.331801,10.255662,9.052086
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.95407,9.133778,10.69911,9.26231933333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.0637,7.59535,10.25742,8.63882333333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.083331,8.858002,11.252199,9.397844
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.218697,8.720467,11.058934,9.33269933333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012206,8.288105,10.538632,8.94631433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.391514,7.653049,10.565407,8.53665666666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.416936,8.208565,9.946613,8.524038
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.703525,8.722468,10.119736,8.84857633333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.543084,4.015284,8.912475,5.82361433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.217127,4.015284,8.464441,5.232284
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.135901,4.784568,8.273483,5.73131733333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.889748,3.681513,9.040267,5.537176
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.259298,4.015284,8.031932,4.768838
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.052054,3.783196,8.635451,5.49023366666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.556801,3.046615,6.957673,4.520363
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.553142,3.615991,6.536211,4.23511466666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.686233,4.663711,9.156475,6.16880633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.103272,3.783196,8.460887,5.44911833333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.195122,3.45665,7.145141,4.598971
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.685936,3.602391,6.887534,4.39195366666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.079165,4.015284,8.79836,5.63093633333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.769662,3.783196,6.092517,4.215125
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.788766,3.148214,6.97766,4.30488
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.336167,7.056681,10.316967,7.56993833333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.032727,5.692522,9.347965,6.69107133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.135901,3.681513,9.181571,5.66632833333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.794836,4.015284,8.835281,5.548467
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.756612,3.681513,8.429588,5.28923766666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.592869,3.681513,8.262058,4.84548
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.617988,3.923029,9.251709,5.59757533333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.509367,3.783196,6.775061,4.35587466666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.756612,3.783196,7.803299,5.114369
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.756612,4.417857,9.307026,5.827165
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.509367,3.783196,7.935662,4.74274166666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.649529,4.06283,8.65959,5.123983
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.381232,2.390952,6.68459,3.81892466666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.160824,3.169304,7.505123,4.61175033333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.824261,3.681513,7.868933,4.791569
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.861769,3.769374,7.735145,4.78876266666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.583823,3.783196,7.333971,4.56699666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.553142,3.681513,7.214738,4.483131
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.095134,3.681513,8.55857,5.111739
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.135901,4.743349,8.754738,5.877996
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.511797,3.559171,8.751849,4.940939
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.793772,5.000982,9.791701,6.52881833333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.728325,3.681513,8.979871,5.46323633333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.441354,5.28937,9.534497,6.42174033333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.136144,7.288298,9.893257,7.10589966666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.756612,3.803519,8.565308,5.37514633333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.688618,4.223797,8.317167,5.40986066666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.889844,5.147873,9.384908,6.140875
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.32336,5.000982,9.174249,6.166197
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.63637,4.798125,9.120148,5.85154766666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.510533,5.217854,9.589779,6.43938866666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.156526,5.135906,9.766084,6.686172
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.185303,5.000982,9.604366,5.930217
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.708119,8.05351,10.54249,7.76803966666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.11872,7.891767,10.796832,7.60243966666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.428521,8.088614,10.917363,8.14483266666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.074566,8.357798,10.980274,8.137546
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.438667,7.820386,10.448479,7.90251066666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.917088,8.436831,10.641404,7.998441
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.59965,8.186685,10.928265,8.2382
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.762322,8.07081,10.85593,7.896354
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.354099,7.566359,10.537943,7.819467
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.12362,7.763821,10.296785,7.394742
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,7.564679,10.327736,6.709494
