"","sample","tissue","endometriosis","severity","p33304_at","p204698_at","ISG20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.425101,6.187253,5.806177
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.753189,5.527778,5.1404835
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.254919,3.221852,4.7383855
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.712796,9.096059,8.9044275
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.39613,3.592719,3.9944245
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.898444,9.249466,9.073955
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.11457,8.672213,8.3933915
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.052675,4.432237,4.742456
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.818667,4.97574,4.8972035
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.453027,9.021963,8.737495
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773447,4.97574,4.8745935
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.789496,5.06773,4.928613
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.391165,8.837128,8.6141465
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.291365,5.686103,4.988734
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.922904,4.949944,4.936424
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.271363,9.919933,9.595648
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.225576,9.718435,9.4720055
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.769071,9.063959,8.916515
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.288716,8.925815,8.6072655
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.866196,11.177328,11.021762
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.683887,8.837865,8.760876
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.033272,10.531619,10.2824455
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.452746,10.653024,10.552885
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.660529,10.211859,9.936194
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.918617,10.43648,10.1775485
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.394825,9.643426,9.5191255
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.089072,9.531711,9.3103915
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.186922,8.818122,8.502522
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.762592,11.36699,11.064791
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.637269,9.032494,8.8348815
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.80335,9.351657,9.0775035
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.420398,7.881504,7.650951
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.236192,9.522149,9.3791705
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.099036,8.848998,8.474017
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.73904,9.234097,8.9865685
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.57312,11.203751,10.8884355
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.407317,8.699784,8.5535505
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.261961,11.664292,11.4631265
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.805042,9.152085,8.9785635
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.601059,11.047601,10.82433
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.970981,8.807913,8.889447
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.146613,9.728173,9.437393
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.726603,11.094188,10.9103955
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.542078,10.969702,10.75589
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.73962,10.278167,10.0088935
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.5943,8.882236,8.738268
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.733849,9.176624,8.9552365
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.625948,10.967375,10.7966615
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.547259,12.074627,11.810943
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.55443,9.893354,9.723892
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.812817,8.258381,8.035599
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.944938,11.384657,11.1647975
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.898356,9.271498,9.084927
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.416994,9.114075,8.7655345
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.587057,8.704883,8.64597
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.11443,8.405143,8.2597865
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.491828,8.8851,8.688464
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.180779,10.657532,10.4191555
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.967578,10.497172,10.232375
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.014024,10.350185,10.1821045
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.859522,9.656069,9.2577955
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.494523,10.0559,9.7752115
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.582058,9.992156,9.787107
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.816443,9.347501,9.081972
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.392669,7.800697,7.596683
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.069156,7.659191,7.3641735
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.785003,8.262003,8.023503
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.13809,7.422798,7.280444
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.527476,8.967936,8.747706
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.305225,7.642259,7.473742
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.945243,7.335711,7.140477
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.190818,10.534067,10.3624425
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.895635,7.44612,7.1708775
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.163482,7.614835,7.3891585
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.123451,7.521838,7.3226445
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.432845,10.934473,10.683659
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.349803,7.818837,7.58432
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.137442,10.604517,10.3709795
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.256447,7.596106,7.4262765
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.431462,11.725228,11.578345
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.619441,8.076776,7.8481085
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.175991,7.559972,7.3679815
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.510645,9.36444,8.9375425
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.669922,11.245921,10.9579215
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.318398,8.56075,8.439574
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.942222,10.702034,10.322128
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.772416,9.017549,8.8949825
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.720241,10.241485,9.980863
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.456147,8.001711,7.728929
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.80298,8.7208,8.26189
