"","sample","tissue","endometriosis","severity","p34206_at","p212516_at","ARAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.688114,6.825586,6.75685
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.899365,7.376151,7.137758
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.899397,6.564009,6.231703
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.870431,7.656805,7.763618
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.201634,7.054642,7.128138
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.306395,6.474948,6.8906715
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.604634,6.8078,6.206217
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.113748,7.583168,7.848458
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.060061,7.124392,7.0922265
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.056405,7.071998,7.0642015
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.700693,6.825586,6.7631395
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.225326,7.09873,7.162028
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.409146,7.810362,7.109754
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.327087,6.905595,7.116341
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.155255,6.712661,6.933958
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.495337,6.993592,7.2444645
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.161305,6.710014,6.9356595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.63903,6.562399,6.1007145
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.968922,5.9516,5.960261
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.357771,8.642708,9.0002395
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.298658,8.541417,8.9200375
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.141578,8.311603,8.7265905
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.582173,8.345386,8.9637795
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.665948,8.877179,9.2715635
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.648672,8.772726,9.210699
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.129371,9.29675,9.7130605
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.212956,9.442433,9.8276945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.364917,8.32083,8.8428735
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.118429,8.615751,8.86709
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.093159,9.190058,9.6416085
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.009756,9.217047,9.6134015
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.46144,8.58436,9.0229
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.847018,10.109494,10.478256
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.373642,9.789884,10.081763
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.519655,7.698183,8.108919
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.880047,9.073991,9.477019
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.603745,9.702266,10.1530055
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.629226,7.576197,8.1027115
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.515544,8.896506,9.206025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.724557,9.073774,9.3991655
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.91175,8.019667,8.4657085
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.168479,9.161025,9.664752
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.133088,8.83482,8.483954
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.753982,8.904637,9.3293095
