"","sample","tissue","endometriosis","severity","p209744_x_at","p217094_s_at","p235057_at","p239101_at","ITCH"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.946413,4.22441,4.432863,4.660853,4.56613475
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.926893,4.500088,2.928639,4.660853,4.25411825
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.26615,4.612642,3.100869,3.740474,3.93003375
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.727595,4.549331,2.60897,4.325762,4.0529145
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.268213,4.500088,4.772623,3.643802,4.5461815
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.853523,4.569587,3.568915,4.37665,4.34216875
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.101947,5.09278,3.75634,4.386716,4.33444575
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.101947,4.500088,2.837338,3.643802,3.77079375
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.407169,4.888164,4.005935,4.660853,4.49053025
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.724731,6.413961,4.308041,3.748261,5.0487485
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.688613,4.974637,3.497153,4.186811,4.3368035
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.101947,4.524691,3.533153,4.382471,4.1355655
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.048259,4.860941,3.576524,4.660853,4.53664425
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.790516,4.655336,3.340161,3.303244,4.02231425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.258229,4.578965,2.278326,4.010098,3.7814045
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.935763,4.842516,2.677476,4.629118,4.27121825
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01752,4.61427,2.278326,4.637862,4.1369945
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.253703,5.685179,5.385549,4.630255,5.2386715
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.475724,5.053388,4.933198,4.20522,4.9168825
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.101947,3.594259,4.563994,4.506321,4.19163025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.785874,3.153339,3.266679,4.167006,3.5932245
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.101947,3.266792,5.008235,3.783672,4.0401615
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.432293,4.991954,5.093436,4.109161,4.656711
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.710361,3.251517,4.507668,4.021969,3.87287875
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.275574,3.251517,6.093387,3.643802,4.06607
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.109258,3.251517,5.734883,4.660853,4.18912775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.101947,3.251517,5.068684,3.643802,4.0164875
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.259509,4.419806,4.122104,4.634534,4.35898825
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.665764,2.946469,6.141171,5.597717,4.58778025
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.361272,2.994241,5.277044,3.909366,3.88548075
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.265659,3.197368,5.076615,3.499221,3.75971575
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.110991,3.251517,4.333162,4.299604,3.9988185
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.75544,4.500088,3.123032,3.459561,3.70953025
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.101947,3.353983,3.967769,3.643802,3.76687525
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.609738,5.659203,6.675131,5.695841,6.15997825
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.36224,4.273568,5.237818,3.84971,4.680834
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.427573,2.558961,5.429227,4.198739,3.903625
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.292144,4.303337,5.275095,5.238277,5.02721325
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.292606,2.71105,4.54102,4.610099,3.78869375
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.101947,4.74751,3.443056,4.660853,4.2383415
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.818521,3.791702,6.62285,5.327341,4.8901035
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.265659,3.597585,5.251666,3.518059,3.90824225
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.575163,2.556222,3.394141,3.813594,3.08478
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.314609,4.460515,4.569529,4.660853,4.5013765
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.502101,2.556222,5.031379,3.794311,3.97100325
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.434277,3.826145,4.512239,4.79943,4.14302275
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.265659,3.072841,2.999609,3.643802,3.24547775
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.538777,3.372562,5.570419,4.660853,4.28565275
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.265659,3.164072,5.481159,4.383209,4.07352475
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.872251,2.955493,4.102029,3.643802,3.64339375
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.372475,3.344195,3.76078,4.014923,3.62309325
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.361272,3.392333,3.246998,3.643802,3.41110125
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.265659,3.256918,4.714623,4.162176,3.849844
