"","sample","tissue","endometriosis","severity","p221222_s_at","p223459_s_at","C1orf56"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.753774,5.82484,6.289307
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.365361,5.785952,6.0756565
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.89478,5.40045,5.147615
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.574484,6.0872,6.330842
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.288927,5.831581,5.560254
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.735018,6.512215,7.1236165
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.470433,6.432926,5.9516795
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.061187,5.362975,5.212081
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.249155,5.794856,6.0220055
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.070157,6.379077,6.724617
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.065398,5.85109,5.958244
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.314727,5.881364,6.0980455
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.470433,5.712041,5.591237
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.470433,6.012588,5.7415105
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.743339,4.679424,5.2113815
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.923683,5.332025,5.627854
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.532638,5.700036,6.616337
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.729998,6.312954,7.021476
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.491509,6.544643,7.018076
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.538819,8.568047,8.053433
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.982877,8.145112,7.5639945
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.601591,8.766254,8.1839225
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.151118,6.844254,5.997686
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.329814,8.675749,7.5027815
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.470585,9.164521,8.317553
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.114045,8.352104,7.2330745
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.683814,9.080802,7.882308
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.449789,7.567775,7.008782
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.767005,7.1506,6.9588025
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.332409,9.191115,7.761762
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.583762,8.692339,7.1380505
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.282486,7.664719,6.9736025
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.470433,9.486425,7.478429
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.305587,8.998353,7.65197
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.439121,6.98478,6.2119505
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.707096,9.306735,8.0069155
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.828719,8.991229,7.409974
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.548826,7.174556,7.361691
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.319178,8.61867,7.468924
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.280976,8.567815,7.4243955
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.22447,7.10576,6.665115
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.577826,8.412685,7.4952555
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.521088,7.574743,7.0479155
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.829984,7.160573,6.9952785
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.456048,9.214578,8.335313
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.488018,8.424113,7.4560655
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.664046,9.362211,8.0131285
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.162639,7.471542,7.3170905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177554,8.356393,7.7669735
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.409058,8.915234,7.662146
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.986194,8.735406,7.3608
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.913576,9.585127,8.2493515
