"","sample","tissue","endometriosis","severity","p213686_at","p214785_at","p227988_s_at","p227987_at","VPS13A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201711,8.346563,8.175826,7.942145,7.66656125
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.461255,7.481968,7.21816,5.270989,6.108093
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.964594,6.580229,6.488046,5.474865,5.8769335
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.608487,7.222958,7.140573,5.991898,6.240979
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.468172,7.920226,7.738652,7.382386,6.877359
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.437518,7.74402,7.47099,5.934427,6.14673875
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.443969,7.540737,6.86312,4.888309,5.93403375
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.986114,6.858201,6.839542,6.439956,6.28095325
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.056251,8.429272,7.654184,7.611988,7.18792375
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.98745,7.392446,6.920483,5.81435,6.02868225
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.43905,8.192514,7.511047,6.079739,6.5555875
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.184772,7.068233,7.378001,6.954585,6.64639775
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.43905,8.388006,7.334913,7.497771,6.914935
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.963197,8.274177,8.201601,7.939729,7.344676
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.916484,8.560101,8.683365,7.975851,7.78395025
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.643992,8.018241,8.076617,7.326175,7.01625625
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.958653,7.967841,8.244755,7.340713,7.1279905
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.828384,7.811848,7.877902,6.810661,6.83219875
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.505304,8.475975,7.72038,7.595325,7.074246
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.17038,6.211408,5.863641,5.368705,5.4035335
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.283933,6.174719,5.552288,5.66548,5.669105
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.53624,5.322251,4.787726,4.590305,4.5591305
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.786229,5.920522,4.296391,5.368705,5.09296175
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.101391,5.768033,4.567085,4.644365,4.5202185
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.190974,6.199495,3.888895,4.035408,4.578693
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.426947,6.650551,2.826118,4.343929,4.56188625
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.00922,5.322251,3.214297,5.26869,4.4536145
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.02404,6.558862,5.589571,5.595227,5.691925
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.967518,6.066739,3.076381,4.037467,4.53702625
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.786229,6.076986,2.696005,4.035408,4.398657
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.482507,5.322251,4.198311,4.713361,4.4291075
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.056251,6.721134,4.88054,5.38874,5.51166625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.43905,5.322251,5.294547,3.159579,4.55385675
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.408652,5.770045,3.214297,4.313643,4.42665925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.541186,6.879998,6.922694,7.055822,6.849925
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.917371,6.230698,5.059741,5.10292,5.0776825
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.280123,7.022477,3.904419,5.270989,5.119502
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.245383,6.100239,5.920448,5.982698,5.812192
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.873298,6.235884,5.437936,5.333126,5.470061
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.502862,6.29103,2.785642,4.328345,4.47696975
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.31754,7.249736,5.354961,6.145201,6.0168595
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.756997,5.292228,3.575669,3.192635,3.95438225
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.562083,6.560661,3.703767,5.13884,4.99133775
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.462551,5.726399,5.354961,5.999085,5.635749
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.71131,5.322251,3.633686,3.794622,3.86546725
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.969366,6.668232,5.708231,5.365907,5.677934
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.786229,5.322251,3.198816,5.025064,4.58309
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.786229,6.148953,4.247542,5.270989,5.11342825
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.572951,6.620507,4.35102,5.085505,4.90749575
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.786229,6.966979,3.98835,4.250313,4.99796775
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.099423,5.769352,3.394673,5.10292,4.591592
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.786142,5.322251,3.263755,5.218246,4.3975985
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.088218,5.401241,4.467513,4.637911,4.89872075
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.43144,7.597168,5.552288,5.660737,5.81040825
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.061754,5.937868,5.989079,5.369345,5.8395115
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.368673,6.874748,7.288746,7.922786,7.11373825
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.240715,6.587496,5.570711,5.531045,5.73249175
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.218725,6.163572,6.233956,6.15806,5.94357825
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.625679,6.810529,7.121917,6.67095,6.55726875
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.257496,5.920522,5.354961,5.96015,5.62328225
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.786229,6.347523,5.263244,5.273488,5.417621
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.065508,5.459004,6.053784,5.368705,5.48675025
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.39826,6.609601,6.044584,6.470495,6.130735
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.805672,6.164694,6.427706,7.17145,6.3923805
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.026965,7.77254,7.764584,7.880876,7.61124125
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.047922,6.738603,5.552288,5.368705,5.6768795
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.135404,6.194533,5.786145,5.377816,5.6234745
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.263592,7.612442,7.435083,7.812995,7.281028
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.945352,6.796534,6.833075,7.679642,6.81365075
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.847323,7.395804,7.530417,8.022953,7.44912425
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.019092,6.640265,6.504958,6.960421,6.531184
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.299792,7.285023,6.678626,7.205021,6.8671155
