"","sample","tissue","endometriosis","severity","p200859_x_at","p214752_x_at","p213746_s_at","FLNA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.943283,10.34267,10.843186,10.709713
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.337318,10.52978,10.308728,10.7252753333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.12747,11.711897,11.914148,11.9178383333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.478691,11.861665,11.929701,12.090019
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.351243,11.698473,12.355418,12.1350446666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.293598,11.788019,11.908042,11.996553
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.572154,11.504291,12.048954,12.0417996666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.495831,11.685134,12.04013,12.0736983333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.930208,11.331928,11.553947,11.605361
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.207545,11.758582,12.185119,12.0504153333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.914696,11.259,11.600241,11.5913123333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.032461,11.408004,11.756353,11.7322726666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.364453,10.489589,10.905196,10.919746
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.53594,12.127994,12.323752,12.3292286666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.630434,11.107435,11.431766,11.3898783333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.463865,11.942215,12.099526,12.1685353333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.865107,11.0068,11.439751,11.4372193333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.591206,10.994389,11.59778,11.3944583333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.17905,11.728161,12.388222,12.0984776666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.933793,11.286419,11.89489,11.705034
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.708739,10.223484,10.522637,10.4849533333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.482544,11.813933,12.498933,12.2651366666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.835011,11.107357,11.86075,11.6010393333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.955025,12.274718,13.101392,12.777045
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.336794,12.426804,13.35855,13.040716
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.921941,11.152361,11.784005,11.6194356666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.250623,11.551329,12.034775,11.9455756666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.546784,11.807695,12.595792,12.316757
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.776314,11.002837,11.747382,11.5088443333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.169739,11.473688,11.703075,11.7821673333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.165014,11.527915,12.053025,11.915318
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.712702,12.19008,12.904263,12.6023483333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.650041,11.960518,12.603836,12.4047983333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.205198,11.376002,12.203108,11.9281026666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.294061,9.546669,10.095333,9.97868766666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.179943,11.601212,12.180242,11.9871323333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.056405,11.494871,11.931821,11.827699
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.33785,10.821931,11.226667,11.128816
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.620392,11.110283,11.601081,11.4439186666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.465131,11.73138,12.275587,12.157366
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.923281,11.342412,11.727651,11.664448
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.984128,12.374902,13.000787,12.7866056666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.747038,9.849421,10.503322,10.3665936666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.372404,11.674146,12.346193,12.1309143333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.516881,11.77614,12.689869,12.32763
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.769471,10.851361,11.386742,11.335858
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.447179,11.115812,11.619218,11.3940696666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.654705,11.083828,11.569182,11.435905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.043194,11.327842,11.850849,11.7406283333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.449876,9.947212,10.431887,10.276325
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.793377,11.068505,11.784636,11.5488393333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.268829,11.514499,11.929401,11.904243
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.564021,11.016596,11.289077,11.289898
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.825565,11.099786,11.811184,11.578845
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.203333,11.55658,12.107719,11.9558773333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.114237,8.976354,9.296241,9.46227733333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.039142,11.405208,11.800078,11.7481426666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.22389,11.43179,12.089113,11.914931
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.707679,10.885738,11.484512,11.3593096666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.742122,10.038136,10.530311,10.4368563333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.720413,12.130406,12.966453,12.6057573333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.692473,11.723719,12.726669,12.3809536666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.6218,11.92131,12.499727,12.3476123333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.885197,11.297912,11.909522,11.6975436666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.386686,9.797696,10.234769,10.139717
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.482047,12.961405,13.635777,13.359743
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.616654,11.81228,12.59199,12.340308
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.590881,9.995013,10.10578,10.230558
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.736777,9.294192,9.635456,9.555475
