"","sample","tissue","endometriosis","severity","p225996_at","p235977_at","LONRF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.275792,3.731726,6.003759
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.845465,5.283626,6.0645455
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.842871,6.442037,7.142454
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.248528,3.415537,4.8320325
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.311699,4.258855,6.785277
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.997358,3.704714,5.851036
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.158829,4.33931,5.2490695
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.603698,5.999338,7.801518
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.397448,4.993347,6.1953975
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.685559,3.974489,5.830024
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.696103,5.288019,6.992061
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.224385,5.153301,6.688843
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.932162,5.483024,6.707593
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.054846,5.98893,7.521888
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.241363,5.402064,6.8217135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.728973,4.295833,6.012403
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.879554,4.781488,6.830521
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.099104,5.855818,6.977461
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.195185,6.236623,7.715904
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.154193,5.138692,5.1464425
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.867807,5.221569,5.544688
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.804266,6.408603,6.1064345
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.915119,6.173302,6.5442105
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.806758,3.615021,5.2108895
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.766883,3.281079,4.023981
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.732507,3.26639,4.4994485
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.97449,5.261249,6.1178695
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.376036,5.980125,7.6780805
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.158967,3.281079,4.720023
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.907441,4.555745,6.231593
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.888296,4.829022,4.858659
