"","sample","tissue","endometriosis","severity","p222931_s_at","p219800_s_at","THNSL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.575349,3.875044,4.7251965
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.239816,3.097872,4.668844
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.095257,2.826422,3.4608395
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.325571,2.236067,3.280819
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.362438,2.866382,4.11441
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,2.479324,3.4531015
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.325571,2.236067,3.280819
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.941774,3.037638,4.489706
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.328079,3.097872,4.7129755
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.895734,2.892816,3.894275
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.667458,3.037638,4.352548
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.56713,3.097872,4.332501
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.783874,2.823275,3.3035745
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.663685,3.112268,4.3879765
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.267443,3.037638,4.1525405
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365751,2.823275,3.594513
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.099845,3.037638,3.5687415
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.993181,3.052851,3.523016
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,3.00604,3.7164595
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.676181,2.826422,3.2513015
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.627958,2.826422,3.72719
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.787165,2.826422,3.3067935
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.963189,2.914692,3.4389405
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.516806,2.935342,3.726074
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.072417,3.037638,3.5550275
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.460963,2.826422,3.6436925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.325571,3.049496,3.6875335
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.447188,3.551229,4.4992085
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.041298,3.097872,3.569585
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.738323,3.037638,3.8879805
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.189208,4.5995,4.894354
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.964797,3.037638,4.0012175
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.569511,2.826422,3.1979665
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.32379,2.826422,3.075106
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.447676,5.208913,6.3282945
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.997119,3.097872,3.5474955
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.375315,3.097872,3.7365935
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.107821,3.037638,4.0727295
