"","sample","tissue","endometriosis","severity","p212447_at","p223585_x_at","p223584_s_at","KBTBD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.932307,3.791322,5.299774,5.34113433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.741589,6.09794,7.310043,7.04985733333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.826966,3.855746,4.835023,5.17257833333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.611802,5.377728,6.420664,6.47006466666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.571962,6.090858,7.000267,6.55436233333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13908,5.168946,6.97373,6.427252
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.843019,2.56965,5.60131,5.00465966666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.012151,4.149217,5.451871,5.53774633333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.037764,5.484874,6.075621,6.19941966666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.242058,5.513955,6.584047,6.44668666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.38052,5.492581,6.936701,6.269934
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.109484,5.348724,6.316852,6.25835333333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.6602,3.9313,5.23133,5.27427666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.049513,4.947617,5.6718,5.88964333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.25352,4.51019,5.084164,5.615958
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.882792,6.105443,6.571531,6.85325533333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.952981,4.719715,5.560046,6.07758066666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.582489,4.570847,6.011149,5.721495
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.625893,2.73917,5.40415,4.923071
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.100422,2.30397,5.084164,4.82951866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.418538,2.274358,3.938618,4.21050466666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.435814,2.257924,4.711657,4.13513166666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.020473,2.27066,6.316181,5.202438
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.138991,2.282185,3.938618,3.786598
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.002952,2.257924,4.425398,3.89542466666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.742018,2.257924,4.524722,3.50822133333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.369219,2.358104,4.425398,3.38424033333333
