"","sample","tissue","endometriosis","severity","p221738_at","p221736_at","RALGAPB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.078296,8.734028,7.406162
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.577566,8.439393,7.5084795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.496232,8.028215,7.2622235
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.103945,8.660833,7.382389
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.876409,8.701827,7.289118
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0903,8.472281,7.2812905
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.733018,8.403806,7.568412
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.121815,8.262722,7.1922685
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.486383,8.406491,7.446437
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.652358,8.391194,7.021776
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.78446,8.494798,7.639629
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.323973,8.123727,6.72385
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.944535,8.11453,7.5295325
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.056605,8.942725,7.499665
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.318833,8.686379,7.002606
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02153,8.796585,7.4090575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.435638,8.899084,7.167361
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.112904,9.001743,7.5573235
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.802466,8.454144,7.128305
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.323973,7.607839,6.465906
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.022929,7.706009,6.364469
