"","sample","tissue","endometriosis","severity","p217716_s_at","p222385_x_at","SEC61A1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.118434,7.131101,8.6247675
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.999215,9.656542,10.3278785
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.728229,8.026532,8.8773805
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.942045,8.861191,9.901618
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.107475,10.089844,10.0986595
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.016367,9.193933,10.10515
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.525044,7.987275,9.2561595
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.051473,7.476482,9.2639775
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.458347,8.79228,9.6253135
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.020582,9.590709,10.3056455
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.830787,9.647658,10.2392225
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.071973,8.357601,9.214787
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.863042,6.295882,8.079462
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.366061,8.588184,9.9771225
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.022602,7.533817,9.2782095
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.822875,8.200788,9.5118315
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.710573,7.796083,9.253328
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.552061,9.113738,9.8328995
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.859308,9.017184,9.938246
