"","sample","tissue","endometriosis","severity","p57739_at","p222070_at","DND1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.129823,4.817964,5.4738935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.153499,5.043311,5.598405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.799322,4.977947,5.3886345
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.001646,4.423237,5.2124415
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.315065,4.913453,6.114259
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.947719,5.03326,5.9904895
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.211237,4.67486,5.4430485
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.576374,5.043311,5.8098425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.998978,4.92053,5.459754
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.730675,5.043311,5.386993
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.108305,4.913453,5.510879
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.670761,4.913453,5.792107
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.401381,4.330867,4.866124
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.268266,4.864001,5.5661335
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.330458,4.591569,5.4610135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.250366,4.550723,5.4005445
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.03829,4.842371,5.9403305
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.969571,4.633302,5.3014365
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.900892,3.53317,4.717031
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.112906,6.169703,7.6413045
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.083501,5.943548,7.5135245
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.736941,5.695339,7.21614
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.492346,5.66571,7.079028
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.355334,5.563938,6.959636
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.178474,6.443105,7.8107895
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.034348,5.814702,7.424525
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.034095,6.266074,7.6500845
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.062531,5.21217,6.6373505
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.787755,4.842371,6.315063
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.155845,6.135059,7.645452
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.491262,5.886062,7.188662
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.361097,5.258948,6.8100225
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.894979,6.062592,7.4787855
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.544299,6.027856,7.2860775
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.534977,4.700375,6.117676
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.659647,5.770008,7.2148275
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.45015,6.432509,7.9413295
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.967362,5.043311,6.5053365
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.96907,6.036169,7.5026195
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.785636,5.678827,7.2322315
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.3017,5.371328,6.836514
