"","sample","tissue","endometriosis","severity","p200060_s_at","p207939_x_at","RNPS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.776852,8.265869,10.0213605
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.858044,8.754813,10.3064285
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.178797,8.754813,10.466805
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.839181,8.601407,10.220294
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.304108,8.680224,10.492166
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.75546,8.415402,10.085431
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.858805,8.807677,10.333241
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.857363,8.995791,10.426577
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.94732,8.338109,10.1427145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.553051,8.545006,10.0490285
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.967979,8.754813,10.361396
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.928952,8.675143,10.3020475
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.514877,8.408438,9.9616575
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.27999,8.754813,10.5174015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.129051,9.017439,10.573245
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.814652,8.765381,10.2900165
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.079548,8.653184,10.366366
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.988302,8.807677,10.3979895
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.819598,8.754813,10.2872055
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.406486,9.291451,10.8489685
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.378993,9.404724,10.8918585
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.111411,9.338243,10.724827
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.759712,8.807677,10.2836945
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.621939,9.540577,11.081258
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.585579,9.345357,10.965468
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.454116,9.859427,11.1567715
