"","sample","tissue","endometriosis","severity","p222978_at","p222979_s_at","p222977_at","SURF4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.885336,8.476773,8.946854,9.436321
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.015245,9.139821,9.856289,10.003785
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.514776,8.956005,9.847857,10.1062126666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.626516,8.956463,9.854285,10.1457546666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.215877,9.642327,10.329083,10.3957623333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.613493,9.708211,10.254412,10.525372
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.452869,8.283272,9.7422,9.82611366666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.288525,8.387081,9.156594,9.61073333333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.29866,8.94433,9.785588,10.009526
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.671898,9.938093,10.357534,10.6558416666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.245251,9.498836,9.805986,10.1833576666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.831855,8.828958,9.412117,9.69097666666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.1954,8.009236,8.557235,8.92062366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.654237,8.968831,10.058988,10.227352
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.369073,9.004704,9.845006,10.0729276666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.252405,9.01262,9.777464,10.014163
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.484694,8.99587,9.858924,10.1131626666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.433413,9.424975,9.773209,10.2105323333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.486132,9.341082,9.68892,10.1720446666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.08415,10.299893,10.005061,10.796368
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.11528,9.871156,9.733469,10.5733016666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.662687,11.177546,10.665715,11.5019826666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.062179,9.733331,10.324376,10.7066286666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.779353,10.855375,10.545563,11.3934303333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.775832,10.956275,10.81667,11.516259
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.85968,10.970264,10.915773,11.5819056666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.196247,10.180652,10.031267,10.802722
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.409708,10.076276,10.276569,10.920851
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.999429,9.920507,9.508154,10.47603
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.48295,10.420427,9.942231,10.948536
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.909652,9.375649,9.623169,10.3028233333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.455917,9.975581,10.301673,10.911057
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.59155,10.270004,10.519211,11.1269216666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.518711,10.593077,10.561326,11.2243713333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.616767,9.25331,9.380914,10.0836636666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.720965,10.842847,11.111027,11.5582796666667
