"","sample","tissue","endometriosis","severity","p201114_x_at","p216088_s_at","PSMA7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.41312,8.901501,9.1573105
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.793945,9.551863,9.672904
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.701112,8.836444,9.268778
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.827425,9.478339,9.652882
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.258288,9.054962,9.156625
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.884106,9.568032,9.726069
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.926237,9.573348,9.7497925
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.974638,9.750916,9.862777
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.669888,9.578719,9.6243035
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,9.478339,9.631608
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.946934,9.762873,9.8549035
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,9.486558,9.6357175
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.672736,8.782806,9.227771
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.105386,9.360542,9.732964
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,9.337805,9.561341
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.749613,9.339702,9.5446575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.953207,9.533068,9.7431375
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,9.248738,9.5168075
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784877,9.530274,9.6575755
