"","sample","tissue","endometriosis","severity","p222743_s_at","p218789_s_at","C11orf71"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.442746,6.67231,6.057528
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.237067,5.540455,5.888761
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.563311,4.701812,5.1325615
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.294774,5.398322,4.846548
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.13355,5.723824,5.428687
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.628132,5.107073,5.3676025
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.628132,6.481648,6.05489
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.001111,5.845276,5.4231935
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.496512,5.204682,5.350597
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.608692,6.006198,5.307445
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.603848,5.428521,5.5161845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.261048,4.712233,4.9866405
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.437753,4.534715,4.986234
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.089257,5.873953,5.481605
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.300571,5.598695,5.449633
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.765208,4.583777,4.6744925
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.089257,5.15468,5.1219685
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.628132,4.812813,5.2204725
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.56199,4.868784,4.715387
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.118199,5.588204,5.3532015
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.529397,6.541717,6.535557
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.333598,6.477278,6.405438
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.408696,6.228549,5.8186225
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.164026,5.516161,5.8400935
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.034771,6.081219,6.057995
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.338465,6.920098,7.1292815
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.159233,4.956075,6.057654
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.180692,7.24374,6.712216
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.608036,7.041459,6.8247475
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.414046,6.881356,6.647701
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.918004,6.569577,6.7437905
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.640851,6.858149,6.7495
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.91846,5.375374,5.646917
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.990987,6.009856,6.5004215
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.73986,7.137359,6.4386095
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.573936,5.764911,6.1694235
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.792183,6.008058,6.4001205
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.765542,6.970301,6.3679215
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.849877,6.541717,6.695797
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.628132,4.555641,5.0918865
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.557419,6.605203,6.081311
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.084457,5.87205,5.9782535
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.557994,6.193296,6.875645
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.446123,5.975522,5.7108225
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.909188,5.900933,5.9050605
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.17859,6.542039,6.8603145
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.495185,6.793623,7.144404
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.790491,5.149953,5.470222
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.495213,4.787071,5.641142
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.833236,6.121505,6.9773705
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.509968,6.321334,6.415651
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.098169,5.561226,6.3296975
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.310354,6.873882,7.092118
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.443596,7.370421,6.9070085
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.031689,6.945428,6.4885585
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.471454,7.226974,6.849214
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.386925,6.930519,6.658722
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.250869,6.40652,5.8286945
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.761695,6.368208,5.5649515
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.73924,6.837417,6.7883285
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.609263,6.980095,6.794679
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.77869,6.661346,6.220018
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.85575,6.541717,5.6987335
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.836232,6.876302,6.356267
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.336697,7.862277,6.599487
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.287831,6.667069,6.47745
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.628132,7.099191,6.3636615
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.628132,7.678013,6.6530725
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.826098,7.744323,6.7852105
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.259412,8.020346,6.639879
