"","sample","tissue","endometriosis","severity","p206567_s_at","p209422_at","PHF20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.038324,8.908056,6.97319
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.847026,8.622697,7.2348615
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.710849,7.193423,6.452136
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.300614,8.087714,6.694164
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.038324,8.864991,6.9516575
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.534779,8.79581,7.1652945
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.419564,7.376127,5.8978455
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.465734,8.566128,7.015931
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.949859,9.226562,7.5882105
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.568241,9.264369,7.416305
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.612173,9.101502,7.3568375
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.119315,9.365993,7.242654
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.094756,7.251326,7.173041
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.163973,9.091131,7.127552
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.038324,9.294001,7.1661625
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.480898,8.815924,7.148411
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.499517,9.062896,7.2812065
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.038324,9.232586,7.135455
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.28042,9.096134,7.188277
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.495661,8.532861,8.014261
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.179983,9.159792,8.6698875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.21493,8.913338,8.564134
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.519971,8.633633,8.576802
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.371233,7.875822,7.6235275
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.994196,7.154054,7.074125
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.624115,7.290228,7.4571715
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.777978,7.05524,6.916609
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.683122,8.141247,7.9121845
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.796582,8.192397,7.9944895
