"","sample","tissue","endometriosis","severity","p218190_s_at","p228142_at","UQCR10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.910276,4.430606,7.670441
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.988056,4.653313,7.8206845
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.764359,5.520594,8.1424765
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.282877,4.653313,7.968095
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.911647,4.810718,7.8611825
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.429561,5.491918,8.4607395
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.918667,4.837723,7.878195
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.760823,4.653313,7.707068
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.261492,4.653313,7.9574025
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.514648,6.178847,8.8467475
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.366192,5.23292,8.299556
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.737489,4.737938,7.7377135
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.034582,5.658899,8.3467405
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.600515,5.837196,8.7188555
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.461223,5.610296,8.5357595
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.217573,5.631004,8.4242885
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.306438,5.485568,8.396003
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.980528,5.224932,8.10273
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.286768,4.653313,7.9700405
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.19764,7.508815,9.8532275
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.701925,7.323729,10.012827
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.706706,7.841462,10.274084
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.86343,7.487684,9.675557
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.482891,7.80977,10.1463305
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.540494,7.586009,10.0632515
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.063861,6.984494,10.0241775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.217519,6.904561,9.56104
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.396364,6.930079,9.6632215
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.808507,8.0545,10.4315035
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.714748,7.815046,10.264897
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.198089,7.332422,9.7652555
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.709517,7.074043,9.89178
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.078214,7.352164,9.715189
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.464027,6.904561,9.684294
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.428957,7.292923,9.86094
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.418236,8.375032,10.396634
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.304675,7.187663,9.746169
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.622582,7.000448,9.811515
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.612395,7.464794,10.0385945
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.239013,6.904561,9.571787
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.459539,6.904561,9.68205
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.838332,7.180541,9.5094365
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.739009,6.904561,9.821785
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.928815,6.552005,9.24041
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.297083,7.371133,9.834108
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.679734,7.742801,10.2112675
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.587119,7.507725,10.047422
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.901703,6.313067,9.107385
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.655562,7.317617,9.9865895
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.585887,6.559691,9.572789
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.143692,6.066591,9.1051415
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.505435,8.323644,10.4145395
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.826751,7.521014,10.1738825
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.244714,7.249042,9.746878
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.194364,7.553023,9.8736935
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.754076,7.633622,10.193849
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.130294,7.046834,9.588564
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.223413,7.406377,9.814895
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.377423,7.292879,9.835151
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.667159,6.904561,9.78586
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.325985,7.209557,9.767771
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.324007,8.0497,10.1868535
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.134593,7.292725,9.713659
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.225357,7.16781,9.6965835
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.752249,7.043784,9.3980165
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.248044,6.801049,9.5245465
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.628015,7.720509,10.174262
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.492821,7.591976,10.0423985
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.150008,7.437648,9.793828
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.946608,7.07499,9.510799
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.437871,7.105668,9.2717695
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.32554,7.168011,9.7467755
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.74643,6.904561,9.3254955
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.134208,6.96315,9.548679
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.287796,7.227815,9.7578055
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.389561,7.552973,9.971267
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.331194,7.63188,9.981537
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.366017,8.104306,10.2351615
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.040089,7.59156,9.8158245
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.496169,7.16575,9.8309595
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.41885,7.821965,10.1204075
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.33275,8.036462,10.184606
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.357021,6.98554,9.1712805
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.405445,6.904561,9.655003
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.666511,7.832611,10.249561
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.084358,7.698336,9.891347
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.042509,6.904561,9.473535
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.296986,7.139597,9.7182915
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.215244,7.233275,9.7242595
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.333409,7.385382,9.8593955
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.295875,6.904561,9.600218
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.734677,7.419661,10.077169
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.672268,6.904561,9.2884145
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.205698,6.80848,9.507089
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.363396,6.904561,9.6339785
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.89346,6.642744,9.268102
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.531601,7.711861,10.121731
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.295517,6.862822,9.5791695
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.592984,6.349833,9.4714085
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.753062,6.904561,9.3288115
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.234081,6.849971,9.542026
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.176418,6.761797,8.9691075
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.534702,7.330667,9.9326845
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.28241,7.472173,9.8772915
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.511162,7.311138,9.91115
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.900471,6.814457,9.357464
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.397204,7.191576,9.79439
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.22791,6.733201,9.4805555
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.307027,7.262427,9.784727
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.480738,6.904561,8.6926495
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.454039,7.047597,9.750818
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.925344,6.15939,9.042367
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.666826,7.221525,9.4441755
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.212918,5.872841,8.5428795
