"","sample","tissue","endometriosis","severity","p223331_s_at","p224315_at","DDX20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.549298,3.658603,5.6039505
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.558542,3.976495,5.7675185
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.370619,4.00018,5.6853995
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.899134,3.940255,5.4196945
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.68418,4.134634,5.909407
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.346624,3.692397,5.5195105
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.808915,3.172267,4.490591
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.318986,3.615106,5.467046
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.480078,3.940255,5.7101665
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.675287,3.077127,4.876207
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.577089,3.977266,5.7771775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.663768,4.376234,6.020001
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.531233,3.172267,4.35175
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.632174,4.188063,5.9101185
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.561661,3.940255,5.750958
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.223971,4.153451,5.688711
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.267219,3.940255,5.603737
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.615809,4.299323,5.957566
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.190761,4.292692,5.7417265
