"","sample","tissue","endometriosis","severity","p203162_s_at","p203163_at","KATNB1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.741686,3.05136,4.896523
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.159111,4.323532,5.7413215
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.274388,2.468894,4.871641
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.95664,4.725674,5.341157
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.816717,4.568924,5.6928205
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.105798,4.358621,5.2322095
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.293747,4.231769,5.762758
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.504115,4.599979,5.552047
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.698554,4.853889,5.7762215
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.632571,4.930951,5.781761
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.809831,3.541597,5.175714
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.113237,4.080748,5.5969925
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.414336,2.566806,4.490571
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.39781,5.235836,6.316823
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.028974,5.235836,6.132405
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.895837,4.531199,5.713518
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.202054,4.850865,5.5264595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.763488,3.544241,4.6538645
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.938752,2.268069,4.1034105
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.436038,6.541283,7.9886605
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.028564,7.240459,8.6345115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.51403,6.772416,8.143223
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.475624,6.723847,8.0997355
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.099218,7.502805,8.8010115
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.537558,6.8947,8.216129
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.792506,8.252941,9.5227235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.780146,7.661506,9.220826
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.92322,7.533887,8.7285535
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.246508,6.501428,7.873968
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.361184,7.476904,8.919044
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.861347,7.919133,9.39024
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.929287,7.724042,8.8266645
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.88388,8.605188,9.744534
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.853996,8.550609,9.7023025
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.562503,5.88755,7.2250265
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.716951,6.473086,8.0950185
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.463414,7.465829,8.9646215
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.227892,5.88755,7.557721
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.085295,6.753004,8.4191495
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.109495,7.408422,8.7589585
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.31676,6.407043,7.8619015
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.767952,7.429207,8.5985795
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.529868,5.883696,7.706782
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.112027,5.91613,7.5140785
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.65143,6.813473,8.2324515
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.931797,6.832566,8.3821815
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.904286,8.289666,9.596976
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.273211,6.238535,7.755873
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.284688,7.25237,8.768529
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.87126,7.481025,9.1761425
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.550557,7.904064,9.2273105
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.030333,7.175493,8.602913
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.04107,7.353994,8.697532
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.285728,7.913957,9.0998425
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.883383,6.584359,8.233871
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.121757,5.632979,6.877368
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.926693,7.436697,8.681695
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.613504,5.937754,7.275629
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.481959,6.078686,7.2803225
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.08124,7.10193,8.591585
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.984973,7.830672,8.9078225
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.620079,5.916392,7.2682355
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.690418,6.124569,7.4074935
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.06891,5.508247,6.7885785
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.789944,6.088687,7.4393155
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.053821,6.898733,7.976277
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.137226,7.794007,8.9656165
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.381044,5.594589,6.9878165
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.173196,5.734941,6.9540685
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.984768,5.734941,6.8598545
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.19721,5.351061,6.2741355
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.898459,5.186435,6.542447
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.634121,5.235836,6.4349785
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.920752,5.562588,6.74167
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.849717,5.734941,6.792329
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.052603,5.548515,6.800559
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.279295,5.88755,7.0834225
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.621746,5.235836,6.428791
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.944965,5.540235,6.7426
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.454396,6.141366,7.297881
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.116788,5.987401,7.0520945
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.198582,5.88755,7.043066
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.396325,5.734941,7.065633
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.736177,6.301759,7.518968
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.391448,6.713004,8.052226
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.444618,6.65316,8.048889
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.242938,7.490963,8.8669505
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.561093,6.705242,8.1331675
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.782768,7.236213,8.5094905
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.324148,8.118788,9.221468
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.617836,7.419362,8.518599
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.669519,6.903975,8.286747
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.821913,7.17485,8.4983815
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.145689,6.309646,7.7276675
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.829928,7.041807,8.4358675
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.350264,7.105399,8.2278315
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.32414,6.058417,7.6912785
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.818875,5.88755,7.3532125
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.616394,7.282443,8.4494185
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.535263,5.981796,8.2585295
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.668376,7.338721,8.5035485
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.747037,7.063152,8.4050945
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.302997,6.044216,7.6736065
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.440803,7.930903,9.185853
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.756488,6.893012,8.32475
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.081243,6.721823,7.901533
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.559982,6.950323,8.2551525
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.422296,7.367001,8.3946485
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.735494,6.697606,8.21655
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.248268,7.970551,9.1094095
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.620482,8.396201,9.5083415
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.38864,7.315573,8.3521065
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.694997,7.225155,8.460076
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.072609,2.510032,4.2913205
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.54905,4.449629,5.4993395
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.328925,2.618007,4.473466
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.655045,5.235836,5.9454405
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.853668,5.294678,6.074173
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.443579,5.235836,6.3397075
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.630734,5.228547,6.4296405
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.983251,4.882411,5.932831
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.315694,5.146774,6.231234
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.436291,5.193608,6.3149495
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.570391,5.481739,6.526065
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.18417,5.224304,6.204237
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.405996,5.235836,6.320916
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.349052,5.021097,6.1850745
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.853332,4.963867,5.9085995
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.936666,4.90824,5.922453
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.122357,5.212663,6.16751
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.818096,5.067062,5.942579
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.492794,4.863628,6.178211
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.122718,4.800547,5.9616325
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.025316,5.16715,6.096233
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555368,5.709772,6.63257
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.2044,4.198522,5.701461
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.591389,4.967524,5.7794565
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.953598,5.117941,6.0357695
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.868959,3.855996,5.3624775
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014115,5.167991,6.091053
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.806386,5.718233,6.7623095
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.627327,5.45031,6.5388185
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.934698,4.835139,5.8849185
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.596721,5.226917,6.411819
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.466603,4.521981,5.494292
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.478772,5.419676,6.449224
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.55253,4.844904,6.198717
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.678607,5.186831,6.432719
