"","sample","tissue","endometriosis","severity","p223255_at","p223258_s_at","p223254_s_at","G2E3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074295,5.539725,4.689499,5.76783966666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.24413,5.451208,7.11661,6.27064933333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.071123,4.227696,6.279019,5.85927933333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.695729,4.271983,3.933014,4.96690866666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.16045,6.068223,5.107429,6.112034
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.077432,4.44959,5.117091,5.21470433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.118707,3.325574,4.551496,4.665259
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.272501,4.227696,4.713789,5.404662
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.485192,4.749636,5.189142,5.80799
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.475001,4.260983,5.134398,5.29012733333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.890165,5.215741,5.989468,6.36512466666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.30984,4.218066,4.648092,5.39199933333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.802242,3.551801,4.923426,5.09248966666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.213899,6.344897,5.086912,6.215236
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.424202,4.913578,5.413673,5.917151
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.805049,4.670959,4.551496,5.34250133333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611862,4.227696,3.322533,4.720697
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.118707,4.328016,5.123234,5.18998566666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.710965,4.390479,6.37866,5.82670133333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.67585,3.931048,5.541069,4.715989
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.81085,3.388785,6.096645,5.09876
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.836019,3.792852,5.804259,4.81104333333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.006743,3.931048,5.708782,5.21552433333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.268773,3.301663,3.289112,3.95318266666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.258627,2.788692,3.837376,3.961565
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.581456,2.800735,4.112884,3.83169166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.948336,2.47207,4.52857,3.982992
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.077432,4.18363,5.092237,5.11776633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.1434,3.794217,5.821129,5.25291533333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.581456,3.600875,5.049807,4.41071266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.723407,3.329783,4.39862,4.48393666666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.823651,4.053041,4.551496,4.809396
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.143244,2.871887,4.512578,3.84256966666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.581456,2.788692,3.626029,3.66539233333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.746776,5.728671,5.052399,5.84261533333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.589514,3.931048,5.497508,4.67269
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.633262,3.931048,5.00442,4.85624333333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.077432,3.957559,5.628855,5.221282
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.285362,2.808755,5.591848,4.56198833333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.990781,3.374392,4.551496,4.63888966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.077432,4.227696,5.939224,5.414784
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.578225,3.219466,3.289112,3.695601
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.581456,2.901862,5.710291,4.39786966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.121364,3.931048,5.288837,5.11374966666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.603318,2.788692,4.482971,3.958327
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.000858,3.944511,6.1851,5.376823
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.581456,2.531561,4.111533,3.74151666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.581456,2.867578,5.0351,4.161378
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.322525,2.788692,5.014821,4.04201266666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.772926,3.805277,4.42765,4.33528433333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.472205,3.847444,5.1964,4.50534966666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.581456,2.788692,4.551496,3.97388133333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.866467,3.089,3.964819,3.97342866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.387857,3.755079,5.195614,4.77951666666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.052759,3.925864,5.382073,5.120232
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.368108,4.42761,7.304891,6.03353633333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.573385,3.56959,4.860355,4.66777666666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.082961,4.216484,6.233783,5.511076
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.92344,5.338398,5.441653,5.90116366666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.492451,3.957559,5.639907,4.696639
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.368999,3.760293,5.852844,4.99404533333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.032225,4.227696,4.383568,4.881163
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.405442,4.227696,6.491045,5.708061
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.593252,5.10621,6.967754,6.22240533333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.638655,5.223714,6.319631,6.06066666666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.017466,3.955086,4.22004,4.39753066666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.468094,4.362976,5.086912,5.305994
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.072869,7.030978,7.065376,7.389741
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.756798,6.567203,6.669791,6.99793066666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.822808,6.398416,5.491976,6.57106666666667
