"","sample","tissue","endometriosis","severity","p203149_at","p225418_at","p232078_at","p232079_s_at","NECTIN2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.52605,7.381552,5.405133,5.031512,6.08606175
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.090579,7.552586,5.869692,6.196957,6.6774535
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.997324,7.934165,4.856388,4.758519,6.136599
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.942526,7.677524,6.870946,5.901807,6.84820075
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.256679,7.639192,7.740369,6.964955,7.40029875
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.0385,8.315521,7.026361,5.198205,6.89464675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.36786,8.583624,5.480983,5.131027,6.6408735
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.745597,7.61729,5.664032,4.022847,6.2624415
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.208279,7.519147,5.341406,5.265828,6.333665
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.16167,7.602806,7.261586,5.404929,6.85774775
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.317792,8.989601,7.685881,6.609991,7.65081625
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.473467,8.3158,6.765078,6.227073,7.1953545
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.410318,6.595821,4.817882,3.662963,5.621746
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.521173,8.623819,6.817374,6.434117,7.34912075
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.048951,8.176741,6.350918,5.476716,6.7633315
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.495083,7.921486,6.310853,5.535457,6.56571975
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.730518,8.12305,6.523305,6.014938,6.84795275
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.547772,8.211988,6.724269,6.527732,7.00294025
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.910359,7.823574,6.399309,5.775195,6.72710925
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.830034,8.917255,6.419634,6.612523,7.6948615
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.362256,8.491741,5.382063,5.707514,6.9858935
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.946089,9.358163,7.620259,7.287645,8.303039
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.862254,10.101447,7.441949,7.588948,8.7486495
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.325309,10.393481,8.356188,8.209565,9.07113575
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.233081,9.704758,8.251851,7.801327,8.74775425
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.353985,9.364198,7.275444,6.65648,8.16252675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.955971,9.7759,6.688773,6.15401,8.1436635
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.339853,9.948163,8.40392,7.696005,8.84698525
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.126485,8.785271,4.780747,5.143158,6.70891525
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.049283,10.004829,7.145832,6.870229,8.51754325
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.500989,9.39764,6.230139,6.090836,7.804901
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.292535,10.152381,8.595756,7.84223,8.9707255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.235646,10.628887,8.687517,8.50192,9.5134925
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.748079,10.069668,8.397312,7.663127,8.9695465
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.616654,7.898487,4.008636,4.558576,6.02058825
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.346451,9.571718,7.09652,6.882016,8.22417625
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.365309,9.21783,6.629359,6.033772,7.8115675
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.232768,8.031863,4.560364,4.767592,6.39814675
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.190201,9.190767,4.817882,4.983244,7.0455235
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.08883,10.024584,7.296495,7.163813,8.3934305
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.129539,9.078664,4.557097,4.97127,7.1841425
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.210496,10.4576,9.281332,8.572045,9.63036825
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.675761,8.499836,4.817882,4.960427,6.7384765
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.39162,8.23108,5.423117,5.857351,7.225792
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.347811,9.764443,7.876295,7.437904,8.60661325
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.999668,9.005911,3.683709,4.726085,6.60384325
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.508325,9.680225,6.71204,6.167574,8.017041
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.93599,9.853659,7.194546,7.133111,8.5293265
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.819677,9.034338,6.703097,6.576644,7.783439
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.578979,8.784472,6.243101,5.011172,7.154431
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.025364,9.666355,7.044471,6.770428,8.1266545
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.462792,8.761288,6.498936,5.704098,7.6067785
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.194913,8.475634,5.553319,5.720686,7.236138
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.017305,10.019101,8.13545,7.503465,8.66883025
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.636387,9.266452,5.829138,6.073527,7.701376
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.518352,7.339621,3.267028,3.58109,5.42652275
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.316032,9.933817,7.097158,7.326548,8.41838875
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.801067,9.298813,7.8282,7.286488,8.303642
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.217585,8.229334,6.395071,5.969065,7.20276375
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.113141,8.441285,4.986214,4.734787,6.56885675
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.062874,9.318057,7.405892,7.232149,8.254743
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.103117,9.191493,8.036145,7.269417,8.400043
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.253357,8.875467,6.444461,6.751891,7.581294
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.67109,7.78045,5.528152,4.909192,6.722221
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.541736,7.781219,5.793542,5.316517,6.6082535
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.378252,9.40822,7.955128,7.460749,8.55058725
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.108582,9.37412,7.633964,7.086944,8.3009025
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.708212,8.450736,4.112803,4.409255,6.1702515
