"","sample","tissue","endometriosis","severity","p201179_s_at","p201181_at","GNAI3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.464091,6.920143,7.192117
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.275212,5.900214,7.087713
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.695722,6.289284,6.992503
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.301026,6.713984,7.507505
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.661506,6.952337,7.8069215
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.06856,6.953591,7.5110755
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.085087,5.964617,6.524852
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.008095,5.900214,6.9541545
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.233876,6.933898,7.583887
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.336182,6.748528,7.542355
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.454086,6.968568,7.711327
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.27246,6.54769,7.410075
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.317992,6.790321,7.0541565
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.445481,6.316439,7.38096
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.022641,6.368961,7.195801
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.223864,6.953591,7.5887275
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.169435,7.799552,7.9844935
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.523996,6.953591,7.7387935
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.549019,6.579677,7.564348
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.758539,6.915104,6.8368215
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.464496,6.960596,6.712546
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.913432,7.350701,7.1320665
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.090566,7.175614,6.63309
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.437624,6.953591,6.6956075
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.725254,6.358641,6.0419475
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.218149,5.900214,5.0591815
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.189446,6.051186,5.620316
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.396729,7.272634,7.3346815
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.954678,6.62989,5.792284
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.957556,6.164674,5.561115
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.204258,6.732389,5.9683235
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.334235,7.211124,6.7726795
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.915615,5.678101,4.796858
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.775071,5.900214,5.8376425
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.84614,8.304405,8.0752725
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.452721,6.953591,6.703156
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.375357,6.192701,5.784029
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.221497,7.69382,7.4576585
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.570582,6.843915,6.2072485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.83672,6.953591,5.8951555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.751368,7.850949,6.8011585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.383233,6.320854,6.3520435
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.107495,6.393087,5.750291
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.442857,7.836718,7.1397875
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.053604,6.775844,6.414724
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.355717,6.320593,6.338155
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.664914,6.953591,6.3092525
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.820214,7.443703,6.6319585
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.862804,6.953591,6.4081975
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.868286,5.900214,4.88425
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.795804,5.903636,5.84972
