"","sample","tissue","endometriosis","severity","p218151_x_at","p222155_s_at","SLC52A2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.74075,6.292528,7.016639
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.6956,5.747345,6.7214725
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.689586,3.963094,5.82634
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.453407,6.966711,7.710059
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.756375,6.789655,7.273015
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.476342,7.155947,7.8161445
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.72994,5.765524,6.747732
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.840111,4.993199,5.916655
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.709457,5.360097,6.534777
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.977838,7.23131,7.604574
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.506696,5.456082,6.481389
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.102454,6.181436,7.141945
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.720786,5.898807,7.3097965
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.858172,6.06781,6.962991
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.744484,5.827116,6.7858
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.938003,6.453535,7.195769
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.168524,6.31661,7.242567
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.742154,7.281419,7.5117865
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.593843,6.663297,7.12857
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.083524,8.21281,9.148167
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.726838,7.826751,8.7767945
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.877719,8.69154,9.2846295
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.938193,8.083796,9.0109945
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.395307,8.935471,9.665389
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.964032,8.498146,9.231089
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.798224,9.186235,9.9922295
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.133412,9.250241,10.1918265
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.467313,7.753759,8.610536
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.845834,6.833946,7.83989
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.415295,8.299636,9.3574655
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.145765,7.936128,9.0409465
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.140333,7.749727,8.44503
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.983608,9.245783,10.1146955
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.755231,9.331901,10.043566
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.709583,6.978749,7.844166
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.204662,8.919572,9.562117
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.036448,7.987379,9.0119135
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.066995,6.989867,8.028431
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.061291,7.98193,9.0216105
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.77149,8.914434,9.842962
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.66792,7.384501,8.5262105
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.669027,9.518461,10.093744
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.631379,7.147834,8.3896065
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.076712,7.153094,8.114903
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.167225,8.596991,9.382108
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.929335,7.627478,8.7784065
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.502119,8.325034,9.4135765
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.447705,8.464617,9.456161
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.297262,8.462873,9.3800675
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.855326,9.129378,9.992352
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.580084,8.550541,9.5653125
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.878279,9.377861,10.12807
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.848667,7.752091,8.800379
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.860158,7.817518,8.838838
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.499344,7.381761,8.4405525
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.529779,5.470057,6.999918
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.262361,8.521809,9.392085
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.048412,8.357609,9.2030105
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.767319,7.172341,7.96983
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.635601,7.874943,8.755272
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.924663,8.32369,9.1241765
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.428719,7.920161,8.67444
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.482015,7.629369,8.555692
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.739342,6.528621,7.6339815
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.522504,6.731592,7.627048
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.422745,7.716881,8.569813
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.725729,8.187299,8.956514
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.037665,6.062977,7.050321
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.582578,5.937423,6.7600005
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.043894,6.88084,7.462367
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.808925,6.044305,6.926615
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.814367,6.202992,7.0086795
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.308666,5.996323,6.6524945
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.644726,6.379264,7.011995
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.851759,6.34638,7.0990695
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.745023,6.591547,7.168285
