"","sample","tissue","endometriosis","severity","p1554574_a_at","p201885_s_at","CYB5R3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.746596,11.423431,10.0850135
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.49343,11.414035,10.4537325
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.321346,11.693715,10.5075305
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.793217,11.866749,10.829983
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.02171,11.653274,10.837492
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.154538,11.875181,11.0148595
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.059405,11.832066,10.4457355
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.993644,11.729198,10.361421
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.252064,11.466636,10.35935
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.246369,11.716142,10.9812555
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.260985,11.389799,10.325392
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.216542,11.142507,10.1795245
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.832546,11.721895,10.2772205
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.256461,11.626207,10.441334
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.961873,11.547541,10.254707
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.688931,11.910834,10.7998825
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.029715,11.859132,10.4444235
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.70768,11.663382,10.685531
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.360675,11.66094,10.5108075
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.206065,13.488308,11.3471865
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.807583,12.789254,10.2984185
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.160589,13.193626,11.6771075
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.402513,12.898614,10.6505635
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.090161,13.411888,11.7510245
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.899158,13.538432,12.218795
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.747289,13.267639,11.507464
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.897375,13.220915,10.559145
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.882264,12.899616,11.39094
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.170274,13.013908,11.092091
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.198774,13.148234,10.673504
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.029806,13.166931,10.5983685
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.124725,13.050718,11.5877215
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.63949,13.537014,11.588252
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.575722,13.235412,11.905567
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.795767,12.525583,9.660675
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.007642,13.522884,11.265263
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.618397,13.191775,10.905086
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.199403,12.927795,10.563599
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.037683,12.903646,10.4706645
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.774867,13.76347,11.2691685
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.432672,12.789126,9.610899
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.536108,13.405839,11.9709735
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.922068,13.139399,10.5307335
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.395739,13.092072,10.7439055
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.883386,13.379975,11.6316805
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.553643,12.867644,10.2106435
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.923814,13.319287,10.6215505
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.754861,13.354648,11.0547545
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.906348,13.500065,11.2032065
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.873138,13.056523,10.4648305
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.167601,13.390779,11.27919
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.594913,13.258596,11.4267545
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.93332,13.13424,11.03378
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.521819,12.941399,11.231609
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.941643,13.060013,10.500828
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.980971,12.002203,8.991587
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.803603,13.167567,10.985585
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.481591,13.093469,11.28753
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.421812,12.71811,11.069961
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.694603,13.078552,10.8865775
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.352908,13.14549,11.749199
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.64101,12.966322,11.303666
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.231574,13.265732,11.248653
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.779608,12.00133,9.890469
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.135278,12.374211,10.2547445
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.201952,13.034141,11.6180465
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.276013,13.062246,11.6691295
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.031722,12.073691,9.0527065
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.647357,12.066632,9.3569945
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.096634,11.73031,8.913472
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.842403,11.975189,9.408796
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.545676,12.046679,9.2961775
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.735538,11.971381,9.3534595
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.555926,12.191435,9.3736805
