"","sample","tissue","endometriosis","severity","p1559954_s_at","p201788_at","DDX42"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.003405,9.782087,8.392746
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.978102,9.142828,9.060465
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.23634,9.789505,8.0129225
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.778945,10.02333,8.9011375
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.197579,10.105168,9.6513735
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.449049,9.663766,8.5564075
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.825479,9.621409,8.223444
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.619695,9.799526,8.7096105
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.376041,9.885705,9.130873
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.296162,9.475451,8.3858065
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.371345,9.279296,8.8253205
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.494336,9.60872,9.051528
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.524807,9.442732,8.4837695
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.492836,10.08521,8.789023
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.158289,9.867411,8.51285
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.708211,9.819646,8.7639285
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.942731,9.939192,8.4409615
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.001582,9.670968,8.836275
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.347933,9.550712,8.4493225
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.125382,8.432878,5.77913
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.084122,8.758097,5.9211095
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.091065,7.712394,5.4017295
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.795922,8.033277,5.4145995
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.064173,8.073803,5.568988
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.064173,6.976463,5.020318
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.089531,6.292253,4.690892
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.156087,7.395083,5.275585
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.19232,9.105948,6.149134
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.795922,7.63565,5.215786
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.156087,7.403418,5.2797525
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.094875,8.199071,5.646973
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.052142,8.664266,5.858204
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.411169,6.544445,5.477807
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.11895,7.375776,5.247363
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.285465,9.750144,6.5178045
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.756703,8.134123,5.945413
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.156087,7.783219,5.469653
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.795922,9.065631,5.9307765
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.064173,8.084003,5.574088
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.064173,7.282535,5.173354
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.730216,8.312246,5.521231
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.064173,7.628565,5.346369
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.156087,7.529745,5.342916
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.064173,8.648547,5.85636
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.287409,7.608709,5.448059
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.052142,8.764854,5.908498
