"","sample","tissue","endometriosis","severity","p226222_at","p226221_at","RIC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.148768,7.850033,7.9994005
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.687639,6.782884,7.2352615
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.419392,7.023781,7.2215865
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.911621,6.68999,6.8008055
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.87922,7.190709,7.5349645
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.228964,6.044479,6.6367215
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.165942,4.402766,5.284354
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.945966,6.745923,7.3459445
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.877109,6.989906,7.4335075
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.571071,6.697192,7.1341315
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.836827,6.976234,7.4065305
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.243959,7.080821,7.66239
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.946167,6.147261,6.546714
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.92552,7.340808,7.633164
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.531651,6.53847,7.0350605
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.539106,7.170592,7.354849
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.316747,6.329274,6.8230105
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.314702,6.3764,6.845551
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.264079,6.972114,7.1180965
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.744277,5.455279,5.599778
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.710132,5.881045,6.2955885
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.03791,4.913805,5.4758575
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.799516,5.84969,6.324603
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.436602,4.913805,5.6752035
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.887799,5.03785,5.4628245
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.749848,4.913805,5.8318265
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.723158,6.008383,6.3657705
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.52869,6.489009,6.5088495
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.100919,6.288461,6.69469
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.719889,5.836789,6.278339
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.06433,6.000683,6.0325065
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.965984,6.362429,6.6642065
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.315471,5.179443,5.247457
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.749597,5.527343,5.63847
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.059811,7.167338,7.6135745
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.134009,5.586851,5.86043
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.477828,6.147261,6.3125445
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.291587,6.41215,6.8518685
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.566868,5.959905,6.2633865
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.784656,5.696387,6.2405215
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.204959,6.427833,6.816396
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.687075,5.744765,6.21592
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.280504,5.838862,5.559683
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.304648,6.495702,6.900175
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.032547,5.435974,5.7342605
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.136669,6.147261,6.641965
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.257881,5.078839,5.66836
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.04765,6.210348,6.628999
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.994153,5.458479,5.726316
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.555532,5.710118,6.132825
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.851014,5.575693,5.7133535
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.116293,4.913805,5.515049
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.274536,5.804466,6.039501
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.524333,5.545771,5.535052
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.106558,6.783529,6.9450435
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.173599,7.454799,7.314199
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.582693,5.926987,6.25484
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.964006,5.909377,6.4366915
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.076252,6.789503,6.9328775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.621554,6.345448,6.483501
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.884432,6.228768,6.5566
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88662,6.359829,6.6232245
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.198835,6.255381,6.727108
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.564192,7.145248,7.35472
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.380468,7.087626,7.234047
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.392061,6.463246,6.4276535
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.363045,6.254378,6.8087115
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.21763,7.471216,7.844423
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.031284,7.49889,7.765087
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.26732,7.752779,8.0100495
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.508817,7.938005,8.223411
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.943388,7.275407,7.6093975
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.186962,7.812115,7.9995385
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.298027,7.922381,8.110204
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.419457,7.816766,8.1181115
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.065745,7.375052,7.7203985
