"","sample","tissue","endometriosis","severity","p31837_at","p212682_s_at","LMF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.746352,7.966151,7.3562515
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.290429,7.031307,7.160868
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.977054,6.28262,6.129837
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.588138,8.014775,7.8014565
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.534661,7.980501,7.757581
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219758,7.430149,7.3249535
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.679173,6.28262,6.4808965
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.827065,7.285972,7.0565185
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.149709,7.416667,7.283188
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.595123,7.436433,7.015778
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.21044,7.151978,6.681209
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.13276,6.598305,6.3655325
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.356436,6.041237,6.1988365
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.295401,7.897461,7.596431
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.075195,8.21046,7.6428275
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.079528,7.465301,7.2724145
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.181713,7.990075,7.585894
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.442547,6.630874,6.5367105
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447077,6.835605,6.641341
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.116267,9.482235,9.299251
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.035848,9.791764,9.413806
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.711028,9.591164,9.151096
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.737881,9.605054,9.1714675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.812666,10.354418,10.083542
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.354894,10.459311,9.9071025
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.914433,10.777369,10.345901
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.18568,10.955339,10.5705095
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.017474,9.771935,9.3947045
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.91505,9.750221,9.3326355
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.502424,10.238955,9.8706895
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.494796,10.311348,9.903072
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.111276,9.879249,9.4952625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.655031,11.161787,10.908409
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.43813,11.075263,10.7566965
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.62509,8.608601,8.1168455
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.072781,9.470926,9.2718535
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.32029,9.934195,9.6272425
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.259332,9.035869,8.6476005
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.833213,9.672084,9.2526485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.898901,10.516452,10.2076765
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.282237,9.330971,8.806604
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.649749,10.314837,9.982293
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.414517,9.084903,8.74971
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.689998,9.219706,8.954852
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.241057,10.149363,9.69521
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.838954,9.601038,9.219996
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.560716,10.174381,9.8675485
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.777455,9.173311,8.975383
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.441081,9.962502,9.7017915
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.952815,10.44817,10.2004925
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.29066,10.825689,10.5581745
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.597247,10.380853,9.98905
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.958279,9.664883,9.311581
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.709671,9.513705,9.111688
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.913619,9.548396,9.2310075
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.532432,8.2639,7.898166
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.398622,9.969067,9.6838445
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.547913,9.502312,9.0251125
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.583998,8.434601,8.0092995
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.83371,9.511479,9.1725945
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.357179,10.071928,9.7145535
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.797137,9.599455,9.198296
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.294943,8.91709,8.6060165
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.608735,8.339467,7.974101
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.785252,8.727824,8.256538
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.27058,9.970449,9.6205145
